COSMIC_ID	COSMIC_GENE_NAME	Entrez_id	HGNC_ID	mutated?	Cancer_census?
758	NBN	4683	7652	y	y
777	PMS1	5378	9121	y	y
778	PMS2	5395	9122	y	y
791	POLE	5426	9177	y	y
804	POT1	25913	17284	y	y
812	RAD21	5885	9811	y	y
819	RAD51B	5890	9822	y	y
831	RECQL4	9401	9949	y	y
851	SMARCA4	6597	11100	y	y
857	SMARCD1	6602	11106	y	y
860	SMARCE1	6605	11109	n	y
880	TOP1	7150	11986	y	y
902	WRN	7486	12791	y	y
904	XPA	7507	12814	y	y
905	XPC	7508	12816	y	y
923	APC	324	583	y	y
925	SMAD4	4089	6770	y	y
926	VHL	7428	12687	y	y
1016	GNAQ	2776	4390	y	y
1040	GNA11	2767	4379	y	y
1087	RHOA	387	667	y	y
1119	RHOH	399	686	y	y
1178	RAC1	5879	9801	y	y
1201	GNAS_NM_016592_1	2778	4392	y	y
1369	BCL6	603,604	1001	y	y
1382	CARD11	84433	16393	y	y
1388	DAXX	1616	2681	y	y
1391	PDCD1LG2	80380	18731	y	y
1394	CD274	29126	17635	y	y
1399	FAS	355	11920	y	y
1430	BCL11B	64919	13222	y	y
1433	BIRC3	330	591	y	y
1440	BCL10	8915	989	y	y
1441	BCL9	607	1008	y	y
1448	TRAF7	84231	20456	y	y
1450	TNFRSF17	608	11913	y	y
1452	BCL11A	53335	13221	y	y
1466	NOL3	8996	7869	y	y
1467	BCL3	602	998	y	y
1473	BCL7A	605	1004	y	y
1475	BCL2	596	990	y	y
1501	TNFRSF14	8764	11912	y	y
1518	CASP8	841	1509	y	y
1536	PTCH1	5727	9585	y	y
1538	TMPRSS2	7113	11876	y	y
1540	CREB3L2	64764	23720	y	y
1541	EWSR1	2130	3508	y	y
1542	DDIT3	1649	2726	y	y
2575	ARHGAP26	23092	17073	y	y
2584	ARHGEF12	23365	14193	y	y
2603	CHN1	1123	1943	y	y
2665	PLCG1	5335	9065	y	y
2670	RAP1GDS1	5910	9859	y	y
2708	SRGAP3	9901	19744	y	y
2716	FUS	2521	4010	y	y
2717	MPL	4352	7217	y	y
2720	SOCS1	8651	19383	y	y
2721	HNF1A	6927	11621	y	y
2722	WT1	7490	12796	y	y
2724	ETV1	2115	3490	y	y
2770	PALB2	79728	26144	y	y
2778	ERG	2078	3446	y	y
2779	ETV4	2118	3493	y	y
2781	ARNT	405	700	y	y
2785	GRIN2A	2903	4585	y	y
2788	NCOA1	8648	7668	y	y
2789	NCOA2	10499	7669	y	y
2795	NCOR1	9611	7672	y	y
2796	NCOR2	9612	7673	y	y
2807	RARA	5914	9864	y	y
2812	THRAP3	9967	22964	y	y
2820	PPFIBP1	8496	9249	y	y
2823	PTPN13	5783	9646	y	y
2828	PTPRB	5787	9665	y	y
2829	PTPRC	5788	9666	y	y
2833	PTPRK	5796	9674	y	y
2851	NUP214	8021	8064	y	y
2854	NUP98	4928	8068	y	y
2874	RSPO2	340419	28583	y	y
2896	FBXW7_NM_018315_2	55294	16712	y	y
2897	FZR1	51343	24824	y	y
2898	NF2	4771	7773	y	y
2899	CYLD	1540	2584	y	y
2900	TRIM24	8805	11812	y	y
2916	AR	367	644	y	y
2924	NSD1	64324	14234	y	y
2925	NR4A3	8013	7982	n	y
2926	ESR1	2099	3467	y	y
2932	PPARG	5468	9236	y	y
2940	NCOA4	8031	7671	n	y
2944	TBL1XR1	79718	29529	y	y
2962	MEN1	4221	7010	y	y
2963	NF1	4763	7765	y	y
3241	CCND1	595	1582	y	y
3242	CCND2	894	1583	y	y
3243	CCND3	896	1585	y	y
3244	CCNE1	898	1589	y	y
3257	CDKN1B	1027	1785	y	y
3259	CDKN2C	1031	1789	y	y
3265	CRTC1	23373	16062	y	y
3293	HEY1	23462	4880	y	y
3307	KDM5A	5927	9886	y	y
3326	MAML2	84441	16259	y	y
3336	NOTCH2	4853	7882	y	y
3406	KDM5C	8242	11114	y	y
3410	TAL1	6886	11556	y	y
3413	TFE3	7030	11752	y	y
3418	AMER1	139285	26837	y	y
3461	AKAP9	10142	379	y	y
3468	ALDH2	217	404	y	y
3524	CFH	3075	4883	y	y
3573	DDX10	1662	2735	y	y
3600	DDX5	1655	2746	y	y
3608	DDX6	1656	2747	y	y
3631	DNAJB1	3337	5270	y	y
3661	DNMT3A	1788	2978	y	y
3669	UBR5	51366	16806	y	y
3677	EIF4A2	1974	3284	y	y
3681	ELF4	2000	3319	y	y
3685	ELK4	2005	3326	y	y
3691	ERC1	23085	17072	y	y
3698	ETV5	2119	3494	y	y
3699	ETV6	2120	3495	y	y
3704	EZH2	2146	3527	y	y
3711	FEV	54738	18562	y	y
3717	FOXA1	3169	5021	y	y
3742	FOXL2	668	1092	y	y
3746	FOXO1	2308	3819	y	y
3747	FOXO3	2309	3821	y	y
3748	FOXP1	27086	3823	y	y
3760	GATA2	2624	4171	y	y
3761	GATA3	2625	4172	y	y
3808	HIF1A	3091	4910	y	y
3817	HMGA1	3159	5010	y	y
3818	HMGA2	8091	5009	y	y
3828	HSP90AB1	3326	5258	y	y
3869	IL6ST	3572	6021	y	y
3894	KLK2	3817	6363	y	y
3914	LIFR	3977	6597	y	y
3949	MAGI1	9223	946	y	y
3955	MDM2	4193	6973	y	y
3956	MDM4	4194	6974	y	y
3965	FOXO4	4303	7139	y	y
3992	NDRG1	10397	7679	y	y
4017	PCBP1	5093	8647	y	y
4033	PGAM2	5224	8889	y	y
4059	POU5F1	5460	9221	y	y
4103	PPP2R1A	5518	9302	y	y
4127	PPP6C	5537	9323	y	y
4134	PRKAR1A	5573	9388	y	y
4145	RALGDS	5900	9842	y	y
4148	REL	5966	9954	y	y
4272	SOX2	6657	11195	y	y
4289	STAT3	6774	11364	y	y
4306	TNFAIP3	7128	11896	y	y
4397	SUZ12	23512	17101	y	y
4425	PIK3R1	5295	8979	y	y
4987	AXIN1	8312	903	y	y
4988	AXIN2	8313	904	y	y
4995	BTG1	694	1130	y	y
5003	CBL	867	1541	y	y
5004	CBLB	868	1542	y	y
5005	CBLC	23624	15961	y	y
5032	CXCR4	7852	2561	y	y
5107	FUBP1	8880	4004	y	y
5126	GPC3	2719	4451	y	y
5136	IDH1	3417	5382	y	y
5137	IDH2	3418	5383	y	y
5150	JUN	3725	6204	y	y
5175	LRIG3	121227	30991	y	y
5180	MAX	4149	6913	y	y
5195	MYB	4602	7545	y	y
5202	MYCL	4610	7555	y	y
5204	MYCN	4613	7559	y	y
5212	NIN	51199	14906	y	y
5217	PAX3	5077	8617	y	y
5219	PAX5	5079	8619	y	y
5221	PAX7	5081	8621	y	y
5222	PAX8	7849	8622	y	y
5249	TRIM27	5987	9975	y	y
5257	SDHA	6389	10680	y	y
5258	SDHB	6390	10681	y	y
5259	SDHC	6391	10682	y	y
5260	SDHD	6392	10683	y	y
5309	SMAD2	4087	6768	y	y
5310	SMAD3	4088	6769	y	y
5369	STAT5B	6777	11367	y	y
5370	STAT6	6778	11368	y	y
5472	USP6	9098	12629	y	y
5474	USP8	9101	12631	y	y
5478	WIF1	11197	18081	y	y
5489	PML	5371	9113	y	y
5496	YWHAE	7531	12851	y	y
5540	DICER1	23405	17098	y	y
5559	MAF	4094	6776	y	y
5560	MAFB	9935	6408	y	y
5567	OLIG2	10215	9398	y	y
5570	PDGFB	5155	8800	y	y
5588	KDM6A	7403	12637	y	y
5592	MUC1	4582	7508	y	y
5597	SSX4B	548313	16880	n	y
5598	SSX2	6757	11336	y	y
5599	SSX1	6756	11335	y	y
5600	SS18	6760	11340	y	y
5601	RUNX1	861	10471	y	y
5696	EXT1	2131	3512	y	y
5733	LHFP	10186	6586	y	y
5745	NACA	4666	7629	y	y
5749	NFIB	4781	7785	y	y
5764	POU2AF1	5450	9211	y	y
5780	NKX2-1	7080	11825	y	y
5825	ABI1	10006	11320	y	y
5827	ACSL3	2181	3570	y	y
5829	ACSL6	23305	16496	y	y
5832	AFF1	4299	7135	y	y
5834	AFF4	27125	17869	y	y
5874	ATF1	466	783	y	y
5877	ATIC	471	794	y	y
5880	ATP2B3	492	816	y	y
5912	CARS	833	1493	y	y
5913	CASC5	57082	24054	y	y
5914	CBFA2T3	863	1537	y	y
5915	CBFB	865	1539	y	y
5918	CCDC6	8030	18782	y	y
5919	CCNB1IP1	57820	19437	y	y
5923	CDC73	79577	16783	y	y
5924	CDH11	1009	1750	y	y
5926	CDX2	1045	1806	y	y
5930	CNTRL	11064	1858	y	y
5954	CHIC2	26511	1935	y	y
5958	CIITA	4261	7067	y	y
5965	CLTC	1213	2092	y	y
5966	CLTCL1	8218	2093	y	y
5972	COL1A1	1277	2197	y	y
5998	TET1	80312	29484	y	y
6032	DEK	7913	2768	y	y
6055	ELL	8178	23114	y	y
6057	EPS15	2060	3419	y	y
6060	MECOM	2122	3498	y	y
6061	EXT2	2132	3513	y	y
6086	FCGR2B	2213	3618	n	y
6087	FCRL4	83417	18507	y	y
6091	FGFR1OP	11116	17012	y	y
6094	FIP1L1	81608	19124	y	y
6113	FSTL3	10272	3973	n	y
6119	KDSR	2531	4021	y	y
6129	GAS7	8522	4169	y	y
6143	GOPC	57120	17643	y	y
6144	GPHN	10243	15465	y	y
6170	HIP1	3092	4913	y	y
6173	HLF	3131	4977	y	y
6174	MNX1	3110	4979	y	y
6177	HOXA11	3207	5101	y	y
6178	HOXA13	3209	5102	y	y
6179	HOXA9	3205	5109	y	y
6180	HOXC11	3227	5123	y	y
6181	HOXC13	3229	5125	y	y
6182	HOXD11	3237	5134	n	y
6183	HOXD13	3239	5136	y	y
6191	IKZF1	10320	13176	y	y
6198	IL2	3558	6001	y	y
6199	IL21R	50615	6006	y	y
6209	IRF4	3662	6119	y	y
6215	JAZF1	221895	28917	y	y
6227	KLF4	9314	6348	y	y
6228	KLF6	1316	2235	y	y
6236	KTN1	3895	6467	y	y
6243	LCP1	3936	6528	y	y
6246	LEF1	51176	6551	y	y
6250	LMNA	4000	6636	y	y
6356	LPP	4026	6679	y	y
6360	LYL1	4066	6734	y	y
6384	MALT1	10892	6819	y	y
6399	MLF1	4291	7125	n	y
6400	KMT2A	4297	7132	y	y
6401	MLLT1	4298	7134	y	y
6402	MLLT10	8028	16063	y	y
6403	MLLT11	10962	16997	n	y
6404	MLLT3	4300	7136	y	y
6405	MLLT4	4301	7137	y	y
6406	MLLT6	4302	7138	n	y
6417	MSI2	124540	18585	y	y
6419	MSN	4478	7373	y	y
6425	MYH11	4629	7569	y	y
6426	MYH9	4627	7579	y	y
6432	NCKIPSD	51517	15486	y	y
6442	NONO	4841	7871	y	y
6448	NUTM1	256646	29919	y	y
6456	OMD	4958	8134	y	y
6465	P2RY8	286530	15524	y	y
6468	PAFAH1B2	5049	8575	y	y
6476	PBX1	5087	8632	y	y
6479	PCSK7	9159	8748	y	y
6482	PDE4DIP	9659	15580	y	y
6486	PER1	5187	8845	y	y
6493	PHF6	84295	18145	y	y
6497	PICALM	8301	15514	y	y
6508	PLAG1	5324	9045	y	y
6533	PRDM1	639	9346	y	y
6536	MALAT1	378938	29665	y	y
6540	PSIP1	11168	9527	y	y
6552	RABEP1	9135	17677	y	y
6556	RBM10	8241	9896	y	y
6557	RBM15	64783	14959	y	y
6582	RPL22	6146	10315	y	y
6586	RPN1	6184	10381	y	y
6591	RUNX1T1	862	1535	y	y
6600	SBDS	51119	19440	y	y
6603	SEPT5	5413	9164	y	y
6604	SEPT6	23157	15848	y	y
6605	SEPT9	10801	7323	y	y
6606	SET	6418	10760	y	y
6607	SFPQ	6421	10774	y	y
6610	SRSF2	6427	10783	y	y
6611	SRSF3	6428	10785	y	y
6620	SH3GL1	6455	10830	y	y
6658	SPECC1	92521	30615	y	y
6661	SPOP	8405	11254	y	y
6667	STAG2	10735	11355	y	y
6669	STIL	6491	10879	y	y
6681	TAF15	8148	11547	y	y
6683	TAL2	6887	11557	n	y
6689	TCEA1	6917	11612	y	y
6694	TCF12	6938	11623	y	y
6697	TCL1A	8115	11648	y	y
6698	TCL6	27004	13463	y	y
6702	TFEB	7942	11753	y	y
6703	TFG	10342	11758	y	y
6704	TFPT	29844	13630	y	y
6705	TFRC	7037	11763	y	y
6713	TLX1	3195	5056	y	y
6714	TLX3	30012	13532	y	y
6729	TPM3	7170	12012	y	y
6730	TPM4	7171	12013	y	y
6732	TPR	7175	12017	y	y
6735	TRIP11	9321	12305	y	y
6738	TSC1	7248	12362	y	y
6739	TSC2	7249	12363	y	y
6742	TSHR	7253	12373	y	y
6746	ZRSR2	8233	23019	y	y
6760	WAS	7454	12731	y	y
6771	WHSC1L1	54904	12767	y	y
6799	ZMYM2	7750	12989	y	y
6802	ZNF331	55422	15489	y	y
6803	ZNF384	171017	11955	y	y
6806	ZNF521	25925	24605	y	y
6814	CNBP	7555	13164	y	y
6825	PRDM16	63976	14000	y	y
6828	TCF3	6929	11633	y	y
6900	AFF3	3899	6473	y	y
6901	SS18L1	26039	15592	y	y
6902	PRRX1	5396	9142	y	y
6903	COX6C	1345	2285	y	y
6904	LMO1	4004	6641	y	y
6905	TTL	150465	21586	y	y
6906	MDS2	259283	29633	y	y
6907	GOLGA5	9950	4428	y	y
6908	ZBTB16	7704	12930	y	y
6909	ASPSCR1	79058	13825	y	y
6911	FLCN	201163	27310	y	y
6971	XPO1	7514	12825	y	y
6986	RANBP2	5903	9848	y	y
7034	FBXO11	80204	13590	y	y
7067	EIF3E	3646	3277	y	y
7124	CREB1	1385	2345	y	y
7125	KMT2C	58508	13726	y	y
7133	PHOX2B	8929	9143	y	y
7134	EML4	27436	1316	y	y
7137	KIAA1549	57670	22219	y	y
7145	FGFR2	2263	3689	y	y
7146	KMT2D	8085	7133	y	y
7148	SETD2	29072	18420	y	y
7180	PCM1	5108	8727	y	y
7183	PRCC	5546		y	y
54728	CSF3R	1441	2439	y	y
54995	RPL5	6125	10360	y	y
55112	ATP1A1	476	799	y	y
55121	FAM46C	54855	24712	y	y
55603	SLC45A3	85414	8642	y	y
55679	H3F3A	3020	4764	y	y
55881	STRN	6801	11424	y	y
55975	ANTXR1	84168	21014	y	y
56010	DCTN1	1639	2711	y	y
56587	RPL15	6138	10306	y	y
56786	CACNA1D	776	1391	y	y
56807	FHIT	2272	3701	y	y
56821	MITF	4286	7105	y	y
57032	WWTR1	25937	24042	y	y
57281	SLC34A2	10568	11020	y	y
57668	MRPL36	64979	14490	y	y
57709	IL7R	3575	6024	y	y
58084	EBF1	1879	3126	y	y
58272	HIST1H3B	8358	4776	y	y
58751	RSPO3	84870	20866	y	y
58848	ARID1B	57492	18040	y	y
58855	EZR	7430	12691	y	y
58971	HNRNPA2B1	3181	5033	y	y
59233	CUX1	1523	2557	y	y
59376	FAM131B	9715	22202	y	y
59529	NRG1	3084	7997	y	y
59573	HOOK3	84376	23576	y	y
60431	KIF5B	3799	6324	y	y
60532	PRF1	5551	9360	y	y
60564	KAT6B	23522	17582	y	y
60725	NT5C2	22978	8022	y	y
60753	TCF7L2	6934	11641	y	y
60957	MYOD1	4654	7611	y	y
61077	CLP1	10978	16999	y	y
61116	SDHAF2	54949	26034	y	y
61531	KCNJ5	3762	6266	y	y
61716	ETNK1	55500	24649	y	y
61769	COL2A1	1280	2200	y	y
61923	NAB2	4665	7627	y	y
62106	SH2B3	10019	29605	y	y
62125	TBX3	6926	11602	y	y
62169	CLIP1	6249	10461	y	y
62785	HSP90AA1	3320	5253	y	y
62953	SLTM	79811	20709	y	y
63268	RMI2	116028	28349	y	y
63273	RUNDC2A	84127	25711	y	y
63450	HERPUD1	9709	13744	y	y
63509	CTCF	10664	13723	y	y
63564	ZFHX3	463	777	y	y
63818	FLII	2314	3750	y	y
63930	LASP1	3927	6513	y	y
64166	RNF43	54894	18505	y	y
64205	CD79B	974	1699	y	y
64269	H3F3B	3021	4765	y	y
64296	CANT1	124583	19721	y	y
64610	LONP1	9361	9479	y	y
64739	CALR	811	1455	y	y
64871	LSM14A	26065	24489	y	y
65003	CD79A	973	1698	y	y
65013	CIC	23152	14214	y	y
65247	CNOT3	4849	7879	y	y
65503	ASXL1	171023	18318	y	y
65617	SDC4	6385	10661	y	y
65677	NFATC2	4773	7776	y	y
65868	U2AF1	7307	12453	y	y
66118	MKL1	57591	14334	y	y
66786	CAMTA1	23261	18806	y	y
67204	KIAA1598	57698	29319	y	y
67557	ARID2	196528	18037	y	y
67893	CRTC3	64784	26148	y	y
68175	RNF213	57674	14539	y	y
68267	DNM2	1785	2974	y	y
68321	CEP89	84902	25907	y	y
68561	SF3B1	23451	10768	y	y
68690	LZTR1	8216	6742	y	y
69105	CD74	972	1697	y	y
69111	RANBP17	64901	14428	y	y
69158	HLA-A	3105	4931	y	y
69218	NFKBIE	4794	7799	y	y
69392	SND1	27044	30646	y	y
69461	CHCHD7	79145	28314	y	y
74350	FAT4	79633	23109	y	y
74379	ELN	2006	3327	y	y
74414	VTI1A	143187	17792	y	y
74708	NUTM2A	728118	23447	y	y
74717	NFKB2	4791	7795	y	y
74926	MYO5A	4644	7602	y	y
75244	NFE2L2	4780	7782	y	y
75332	MN1	4330	7180	y	y
75546	ECT2L	345930	21118	y	y
77218	AKT1	207	391	y	y
77298	TET2	54790	25941	y	y
77300	CRLF2	64109		y	y
77301	JAK2	3717	6192	y	y
78798	PWWP2A	114825	29406	y	y
81439	ZCCHC8	55596	25265	y	y
81535	CREB3L1	90993	18856	y	y
82209	ZNF278	23598		y	y
85343	CDKN2A(p14)	1029	1787	n	y
85344	JAK1	3716	6190	y	y
85696	WHSC1	7468	12766	y	y
85727	PBRM1	55193	30064	y	y
90576	FAT1	2195	3595	y	y
90665	MYD88	4615	7562	y	y
90666	ATRX	546	886	y	y
91007	MTCP1NB	100272147	35428	y	y
91163	HIST1H4I_ENST00000354348	121504,554313,8294,8359,8360,8361,8362,8363,8364,8365,8366,8367,8368,8370	4791	y	y
91315	RBM15_ENST00000369784	64783		y	y
92175	TERT	7015	11730	y	y
92204	MED12	9968		y	y
92291	DUX4L1	22947		y	y
92497	NUTM2B	729262		y	y
93772	BCOR_NEW			n	y
93862	SETBP1	26040	15573	y	y
101739	FNBP1	23048		y	y
