diseaseId	geneId	score	geneName	description	diseaseName	sourceId	NofPmids	NofSnps
umls:C0033578	1543	0.136617543326883	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1	Prostatic Neoplasms	CTD_human	9	0
umls:C0033578	1545	0.130897400969869	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	Prostatic Neoplasms	CTD_human	5	0
umls:C0033578	1548	0.12	CYP2A6	cytochrome P450, family 2, subfamily A, polypeptide 6	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1557	0.122724350242467	CYP2C19	cytochrome P450, family 2, subfamily C, polypeptide 19	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	1562	0.12	CYP2C18	cytochrome P450, family 2, subfamily C, polypeptide 18	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1571	0.12	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1576	0.122995792114547	CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	1577	0.130540082706004	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	Prostatic Neoplasms	CTD_human	4	0
umls:C0033578	1586	0.133535874820551	CYP17A1	cytochrome P450, family 17, subfamily A, polypeptide 1	Prostatic Neoplasms	CTD_human	11	0
umls:C0033578	1588	0.133264432948471	CYP19A1	cytochrome P450, family 19, subfamily A, polypeptide 1	Prostatic Neoplasms	CTD_human	7	0
umls:C0033578	1605	0.122724350242467	DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1)	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	1636	0.125091382221069	ACE	angiotensin I converting enzyme	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	1647	0.122724350242467	GADD45A	growth arrest and DNA-damage-inducible, alpha	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1672	0.12	DEFB1	defensin, beta 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1728	0.122995792114547	NQO1	NAD(P)H dehydrogenase, quinone 1	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	1775	0.12	DNASE1L2	deoxyribonuclease I-like 2	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1786	0.122724350242467	DNMT1	DNA (cytosine-5-)-methyltransferase 1	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	1789	0.122724350242467	DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1902	0.125448700484934	LPAR1	lysophosphatidic acid receptor 1	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	1950	0.143694895044299	EGF	epidermal growth factor	Prostatic Neoplasms	CTD_human	16	0
umls:C0033578	1956	0.143684963522635	EGFR	epidermal growth factor receptor	Prostatic Neoplasms	CTD_human	25	0
umls:C0033578	1958	0.130344585704044	EGR1	early growth response 1	Prostatic Neoplasms	CTD_human	12	0
umls:C0033578	196	0.12	AHR	aryl hydrocarbon receptor	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2012	0.12	EMP1	epithelial membrane protein 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2014	0.12	EMP3	epithelial membrane protein 3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2052	0.12	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	2064	0.153496597004183	ERBB2	erb-b2 receptor tyrosine kinase 2	Prostatic Neoplasms	CTD_human	25	0
umls:C0033578	2065	0.133621751212336	ERBB3	erb-b2 receptor tyrosine kinase 3	Prostatic Neoplasms	CTD_human	5	0
umls:C0033578	2068	0.125091382221069	ERCC2	excision repair cross-complementation group 2	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	207	0.176658539825986	AKT1	v-akt murine thymoma viral oncogene homolog 1	Prostatic Neoplasms	CTD_human	29	0
umls:C0033578	2078	0.161931158082001	ERG	v-ets avian erythroblastosis virus E26 oncogene homolog	Prostatic Neoplasms	CTD_human	37	0
umls:C0033578	2099	0.139527459049646	ESR1	estrogen receptor 1	Prostatic Neoplasms	CTD_human	12	0
umls:C0033578	210	0.12	ALAD	aminolevulinate dehydratase	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2100	0.148329269912993	ESR2	estrogen receptor 2 (ER beta)	Prostatic Neoplasms	CTD_human	18	0
umls:C0033578	2115	0.134978960572737	ETV1	ets variant 1	Prostatic Neoplasms	CTD_human	9	0
umls:C0033578	2118	0.125720142357015	ETV4	ets variant 4	Prostatic Neoplasms	CTD_human	4	0
umls:C0033578	2146	0.145604919670526	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	Prostatic Neoplasms	CTD_human	16	0
umls:C0033578	2182	0.12	ACSL4	acyl-CoA synthetase long-chain family member 4	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2192	0.12	FBLN1	fibulin 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	221895	0.122367031978602	JAZF1	JAZF zinc finger 1	Prostatic Neoplasms	CTD_human	1	1
umls:C0033578	222546	0.122638473850682	RFX6	regulatory factor X, 6	Prostatic Neoplasms	CTD_human	2	1
umls:C0033578	2247	0.125991584229095	FGF2	fibroblast growth factor 2 (basic)	Prostatic Neoplasms	CTD_human	5	0
umls:C0033578	2255	0.122638473850682	FGF10	fibroblast growth factor 10	Prostatic Neoplasms	CTD_human	2	1
umls:C0033578	2264	0.128173050727402	FGFR4	fibroblast growth factor receptor 4	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	2272	0.128358616207697	FHIT	fragile histidine triad	Prostatic Neoplasms	CTD_human	4	1
umls:C0033578	22853	0.124734063957204	LMTK2	lemur tyrosine kinase 2	Prostatic Neoplasms	CTD_human	2	1
umls:C0033578	2296	0.12	FOXC1	forkhead box C1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	23071	0.12	ERP44	endoplasmic reticulum protein 44	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	23197	0.12	FAF2	Fas associated factor family member 2	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	23204	0.12	ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	23301	0.122367031978602	EHBP1	EH domain binding protein 1	Prostatic Neoplasms	CTD_human	2	1
umls:C0033578	23382	0.12	AHCYL2	adenosylhomocysteinase-like 2	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	23411	0.130897400969869	SIRT1	sirtuin 1	Prostatic Neoplasms	CTD_human	5	0
umls:C0033578	2346	0.129258818215723	FOLH1	folate hydrolase (prostate-specific membrane antigen) 1	Prostatic Neoplasms	CTD_human	9	0
umls:C0033578	23476	0.12	BRD4	bromodomain containing 4	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	23600	0.153235086653767	AMACR	alpha-methylacyl-CoA racemase	Prostatic Neoplasms	CTD_human	17	0
umls:C0033578	23635	0.122724350242467	SSBP2	single-stranded DNA binding protein 2	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	23671	0.12027144187208	TMEFF2	transmembrane protein with EGF-like and two follistatin-like domains 2	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	23753	0.12	SDF2L1	stromal cell-derived factor 2-like 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	246778	0.120814325616241	IL27	interleukin 27	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	25792	0.12	CIZ1	CDKN1A interacting zinc finger protein 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	25818	0.128173050727402	KLK5	kallikrein-related peptidase 5	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	2591	0.12	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	25932	0.12	CLIC4	chloride intracellular channel 4	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	26227	0.12	PHGDH	phosphoglycerate dehydrogenase	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	26298	0.123267233986628	EHF	ets homologous factor	Prostatic Neoplasms	CTD_human	4	0
umls:C0033578	26499	0.12	PLEK2	pleckstrin 2	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2650	0.125448700484934	GCNT1	glucosaminyl (N-acetyl) transferase 1, core 2	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	2678	0.12027144187208	GGT1	gamma-glutamyltransferase 1	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	2690	0.122724350242467	GHR	growth hormone receptor	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	2697	0.122995792114547	GJA1	gap junction protein, alpha 1, 43kDa	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	27134	0.12	TJP3	tight junction protein 3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	27173	0.128444492599482	SLC39A1	solute carrier family 39 (zinc transporter), member 1	Prostatic Neoplasms	CTD_human	5	0
umls:C0033578	27232	0.12027144187208	GNMT	glycine N-methyltransferase	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	27242	0.12	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	27294	0.12	DHDH	dihydrodiol dehydrogenase (dimeric)	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2787	0.12	GNG5	guanine nucleotide binding protein (G protein), gamma 5	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	28	0.12	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2803	0.12	GOLGA4	golgin A4	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	283237	0.12	TTC9C	tetratricopeptide repeat domain 9C	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2878	0.12	GPX3	glutathione peroxidase 3 (plasma)	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2886	0.12	GRB7	growth factor receptor-bound protein 7	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	28999	0.12	KLF15	Kruppel-like factor 15	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	29	0.12027144187208	ABR	active BCR-related	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	2908	0.12027144187208	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	29087	0.12	THYN1	thymocyte nuclear protein 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2923	0.12	PDIA3	protein disulfide isomerase family A, member 3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2925	0.123267233986628	GRPR	gastrin-releasing peptide receptor	Prostatic Neoplasms	CTD_human	4	0
umls:C0033578	2932	0.128444492599482	GSK3B	glycogen synthase kinase 3 beta	Prostatic Neoplasms	CTD_human	5	0
umls:C0033578	2938	0.122724350242467	GSTA1	glutathione S-transferase alpha 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2944	0.145814229369211	GSTM1	glutathione S-transferase mu 1	Prostatic Neoplasms	CTD_human	12	0
umls:C0033578	2947	0.12	GSTM3	glutathione S-transferase mu 3 (brain)	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	2950	0.163974547536791	GSTP1	glutathione S-transferase pi 1	Prostatic Neoplasms	CTD_human	28	0
umls:C0033578	2952	0.140365528884277	GSTT1	glutathione S-transferase theta 1	Prostatic Neoplasms	CTD_human	12	0
umls:C0033578	29893	0.12	PSMC3IP	PSMC3 interacting protein	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	30008	0.12027144187208	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	301	0.125448700484934	ANXA1	annexin A1	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	3047	0.12	HBG1	hemoglobin, gamma A	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3048	0.12	HBG2	hemoglobin, gamma G	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	306	0.12	ANXA3	annexin A3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	307	0.12	ANXA4	annexin A4	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3091	0.153496597004183	HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	Prostatic Neoplasms	CTD_human	23	0
umls:C0033578	3092	0.120814325616241	HIP1	huntingtin interacting protein 1	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	316	0.12	AOX1	aldehyde oxidase 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3169	0.122995792114547	FOXA1	forkhead box A1	Prostatic Neoplasms	CTD_human	4	0
umls:C0033578	3171	0.12	FOXA3	forkhead box A3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3187	0.12	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3232	0.12	HOXD3	homeobox D3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	324	0.125448700484934	APC	adenomatous polyposis coli	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	3248	0.12	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3249	0.13225461033027	HPN	hepsin	Prostatic Neoplasms	CTD_human	9	0
umls:C0033578	328	0.12	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3283	0.122724350242467	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3284	0.122724350242467	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3292	0.12	HSD17B1	hydroxysteroid (17-beta) dehydrogenase 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3293	0.12	HSD17B3	hydroxysteroid (17-beta) dehydrogenase 3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3303	0.12	HSPA1A	heat shock 70kDa protein 1A	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3326	0.12	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3383	0.123267233986628	ICAM1	intercellular adhesion molecule 1	Prostatic Neoplasms	CTD_human	4	0
umls:C0033578	3399	0.12027144187208	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	347747	0.12	HPCQTL19	Prostate cancer aggressiveness quantitative trait locus on chromosome 19	Prostatic Neoplasms	CTD_human	0	0
umls:C0033578	3479	0.221980367420033	IGF1	insulin-like growth factor 1 (somatomedin C)	Prostatic Neoplasms	CTD_human	14	0
umls:C0033578	3486	0.155602118632369	IGFBP3	insulin-like growth factor binding protein 3	Prostatic Neoplasms	CTD_human	18	0
umls:C0033578	3489	0.12	IGFBP6	insulin-like growth factor binding protein 6	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3490	0.125720142357015	IGFBP7	insulin-like growth factor binding protein 7	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	354	0.212877320119613	KLK3	kallikrein-related peptidase 3	Prostatic Neoplasms	CTD_human	75	1
umls:C0033578	3557	0.122724350242467	IL1RN	interleukin 1 receptor antagonist	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	3558	0.122995792114547	IL2	interleukin 2	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	356	0.12	FASLG	Fas ligand (TNF superfamily, member 6)	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3569	0.155678063502489	IL6	interleukin 6	Prostatic Neoplasms	CTD_human	26	0
umls:C0033578	3576	0.142880569428059	CXCL8	chemokine (C-X-C motif) ligand 8	Prostatic Neoplasms	CTD_human	14	0
umls:C0033578	3586	0.122724350242467	IL10	interleukin 10	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	3603	0.122724350242467	IL16	interleukin 16	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3606	0.122724350242467	IL18	interleukin 18	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3630	0.123810117730788	INS	insulin	Prostatic Neoplasms	CTD_human	5	0
umls:C0033578	3667	0.125448700484934	IRS1	insulin receptor substrate 1	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	367	0.320998992337442	AR	androgen receptor	Prostatic Neoplasms	CTD_human	226	2
umls:C0033578	3690	0.136346101454803	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	Prostatic Neoplasms	CTD_human	7	0
umls:C0033578	3708	0.122724350242467	ITPR1	inositol 1,4,5-trisphosphate receptor, type 1	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	3717	0.12	JAK2	Janus kinase 2	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3728	0.122724350242467	JUP	junction plakoglobin	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	373156	0.12	GSTK1	glutathione S-transferase kappa 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3732	0.13198316845819	CD82	CD82 molecule	Prostatic Neoplasms	CTD_human	8	0
umls:C0033578	3817	0.138713133433405	KLK2	kallikrein-related peptidase 2	Prostatic Neoplasms	CTD_human	8	0
umls:C0033578	384	0.122724350242467	ARG2	arginase 2	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	389058	0.12	SP5	Sp5 transcription factor	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3913	0.12	LAMB2	laminin, beta 2 (laminin S)	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3915	0.122724350242467	LAMC1	laminin, gamma 1 (formerly LAMB2)	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	3925	0.120542883744161	STMN1	stathmin 1	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	3945	0.12	LDHB	lactate dehydrogenase B	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	3952	0.128173050727402	LEP	leptin	Prostatic Neoplasms	CTD_human	4	0
umls:C0033578	3977	0.122367031978602	LIFR	leukemia inhibitory factor receptor alpha	Prostatic Neoplasms	CTD_human	1	1
umls:C0033578	4023	0.122995792114547	LPL	lipoprotein lipase	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	4036	0.122724350242467	LRP2	low density lipoprotein receptor-related protein 2	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	406991	0.120542883744161	MIR21	microRNA 21	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	4072	0.12	EPCAM	epithelial cell adhesion molecule	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	4074	0.12	M6PR	mannose-6-phosphate receptor (cation dependent)	Prostatic Neoplasms	CTD_human	1	0
