gene_names	score
TRDMT1	0.5
DCD	0.5
FOXC1	0.5
MARCH8	0.5
GHRH	0.5
MYH14	0.5
RALBP1	0.5
SESN3	0.5
SMAD4	0.5
PRNP	0.5
SMAD7	0.5
GOLPH3L	0.5
PRKDC	0.5
SHROOM2	0.5
TNFRSF10A	1.0
ADCYAP1	0.5
FGF6	0.5
USO1	0.5
IGSF8	0.5
CDC2	0.5
IGF2R	0.5
POLK	0.5
CDC6	0.5
NCOA2	1.0
NCOA3	0.5
NCOA1	0.5
NCOA4	0.5
MTA1	0.5
PRKCB1	0.5
ACAT1	0.5
ACAT2	0.5
CTD-2194D22.4	0.5
INHA	0.5
CTSK	0.5
LAMA5	0.5
EPAS1	0.5
NAT2	1.0
NAT1	1.0
SULT1A1	0.5
RXRA	1.0
LOC728114	0.5
LEF1	0.5
TRPS1	0.5
TSPY1	0.5
ABCG5	0.5
EI24	0.5
F3	0.5
ACPP	1.0
UBIAD1	0.5
MCM2	0.5
FOXO1	0.5
TP73	0.5
SSTR1	0.5
SSTR3	0.5
SSTR2	0.5
HTR3B	0.5
CLPTM1	0.5
RAC1	0.5
SDC1	0.5
MME	1.0
CIZ1	0.5
ARG2	1.0
BRCA1	1.0
PTN	0.5
MT2A	1.0
PCDH11Y	1.0
IGSF5	0.5
HMGB1	0.5
EGFR	1.0
BAX	1.0
CTNNB1	1.0
BAD	1.0
ERG	1.0
CHAF1A	0.5
NGFR	0.5
MAGEA3	0.5
MAGEA1	0.5
BIN1	0.5
AQP3	0.5
HERPUD1	0.5
ADCYAP1R1	0.5
PPFIA2	0.5
CCNA1	0.5
MAD1L1	0.5
GJB2	0.5
TOP1	0.5
HNF1B	1.0
KLF6	1.0
KLF5	0.5
CRISP3	0.5
CXCR4	0.5
HSD17B1	1.0
OGG1	1.0
HSD17B3	0.5
IVNS1ABP	0.5
LOC102724596	0.5
GLIPR1	0.5
FOLH1	1.0
ITGB1	0.5
SPON2	0.5
ITGB3	1.0
NOS3	1.0
ITGB4	0.5
ZGPAT	0.5
CD44	0.5
MCM7	0.5
BMI1	0.5
SRC	0.5
ABO	0.5
ABR	0.5
STS	0.5
HGF	0.5
MMP26	0.5
TOP2A	0.5
HOXB13	1.0
NIPAL3	0.5
E2F3	0.5
E2F1	0.5
CALR	0.5
BTRC	0.5
MYO6	0.5
TIMP3	0.5
TWIST1	0.5
FUT5	0.5
RND3	0.5
MBD2	0.5
PPP3CA	0.5
WDR77	0.5
MLPH	0.5
HDAC1	0.5
RPN2	0.5
GHR	1.0
TUSC3	0.5
CBR1	0.5
SIDT1	0.5
GSTA1	1.0
GSTA2	0.5
NQO1	1.0
VIMP	0.5
THADA	0.5
PTK2B	0.5
PKP3	0.5
TNRC6B	0.5
CHI3L1	0.5
ALAD	0.5
FBLN1	0.5
FGFR4	1.0
FBLN5	0.5
EIF3H	1.0
HPCX2	0.5
TMBIM6	0.5
CXCL12	1.0
ADAMTS1	0.5
NFE2L2	0.5
ARHGEF5	0.5
ADAMTS9	0.5
EAF2	1.0
RPS6KA3	0.5
SLC12A2	0.5
CDH1	1.0
EEFSEC	0.5
RELA	0.5
CDH2	0.5
NOL10	0.5
CDKN2A	0.5
MT3	0.5
HSPB1	0.5
POTEH	0.5
EPHA2	0.5
AMACR	1.0
TNFRSF21	0.5
KLK3	1.0
KLK4	0.5
KLK5	1.0
PHGDH	0.5
SNAI2	0.5
SLC41A1	0.5
MUTYH	0.5
JAG1	0.5
PCA3	0.5
PI16	0.5
RFX6	0.5
VIM	1.0
RXRB	0.5
VIP	1.0
GNG5	0.5
HSD3B1	1.0
HSD3B2	1.0
PHB	0.5
APC	1.0
PAK6	0.5
ABCE1	0.5
PAK2	0.5
STARD10	0.5
ARL11	0.5
GHRHR	0.5
NPY1R	0.5
ADNP	0.5
FOXP4	0.5
CCL5	0.5
SPRY4	0.5
PROS1	0.5
SERINC3	0.5
TCN2	0.5
RRAS	0.5
TXNIP	0.5
WIF1	0.5
TCF7L2	0.5
TBC1D3B	0.5
LAMB1	0.5
ESRRA	0.5
LAMB2	0.5
IBSP	0.5
ATP7B	0.5
TGFBR3	0.5
RUNX2	0.5
MYCL	0.5
OR51E2	0.5
TIRAP	0.5
ZNF160	0.5
NCOR2	0.5
CEACAM1	0.5
CLDN9	0.5
EMP1	0.5
TNS3	0.5
SDF2L1	0.5
CLDN3	0.5
TXNRD2	0.5
COX6C	0.5
PLEK2	0.5
FIGF	0.5
AFM	0.5
IGF1	1.0
FARP2	0.5
TPT1	0.5
CSK	0.5
ENG	0.5
OXT	0.5
NUDT1	0.5
NUPR1	0.5
PMEPA1	0.5
CD40	0.5
AOF2	0.5
IGFBP3	1.0
CNR2	0.5
IGFBP6	0.5
IGFBP7	1.0
IGFBP4	0.5
IGFBP5	0.5
RFK	0.5
SKP2	0.5
TNFRSF11A	0.5
EPS8L3	0.5
BCAR1	0.5
MAK	0.5
GALNT3	0.5
EPOR	0.5
GJA1	1.0
HIST3H3	0.5
PRL	1.0
AZGP1	1.0
TRIM8	0.5
VPS53	0.5
VPS52	0.5
GNA13	0.5
ALKBH3	0.5
CREBBP	1.0
CYP2A6	0.5
CD74	0.5
EPHX1	0.5
HDAC2	0.5
HDAC6	0.5
ATM	1.0
ZFHX3	1.0
HPC15	0.5
HPC14	0.5
TNFSF10	1.0
PGAM2	0.5
HPC10	0.5
GRPR	1.0
TXN	0.5
NRG4	0.5
FLT4	0.5
CBX1	0.5
AKR1C3	1.0
AREG	0.5
GREB1	1.0
SET	0.5
CYP1B1	1.0
ZBTB16	1.0
UGT2B15	1.0
ALCAM	0.5
AGER	0.5
NRP1	0.5
CFLAR	0.5
IFI16	0.5
CHEK1	0.5
PRIMA1	0.5
THYN1	0.5
CST3	0.5
CADM4	0.5
CST1	0.5
CST6	0.5
ITGA2	0.5
CADM1	0.5
CDCP1	0.5
TGFBR2	1.0
CLIC4	0.5
RPS27A	0.5
NTF4	0.5
NAGLU	0.5
TET2	0.5
DAB2IP	1.0
GAPDH	0.5
TRIM68	0.5
ENO1	0.5
XIAP	0.5
ITGA6	0.5
NFKB1	0.5
MUC5AC	0.5
CLU	1.0
EP300	0.5
PCOTH	0.5
MAPK8	0.5
TJP3	0.5
CYP24A1	0.5
ALOX5	0.5
ACOX3	0.5
IRS1	1.0
KEAP1	0.5
TCP1	0.5
CDK5	0.5
CDK6	0.5
F2RL3	0.5
F2RL1	0.5
LPAR1	1.0
KCNRG	0.5
ZNFX1	0.5
TGFB1	1.0
TGFB2	0.5
ACVR2A	0.5
DCXR	1.0
ERCC2	1.0
MSH3	1.0
RARA	0.5
PRDX2	0.5
C17orf93	0.5
DKK3	0.5
CYP17A1	1.0
EZH2	1.0
SLC5A5	0.5
CRK	0.5
PRSS8	1.0
SMARCA2	0.5
HIP1	1.0
SCARA3	0.5
DRG1	0.5
PTPN12	0.5
ASAH1	0.5
ELAC2	0.5
AIFM1	0.5
KLKP1	1.0
SMAD3	0.5
FYN	0.5
REC8	0.5
RB1	0.5
HSPD1	0.5
MED12	0.5
DVL1	0.5
MAGEA4	0.5
AURKA	0.5
DNAJC10	0.5
VIPR1	0.5
RLIM	0.5
SULT2A1	1.0
HNRNPA1	0.5
CCHCR1	0.5
ATAD3A	0.5
INTS4	0.5
PRKCA	0.5
TPP1	0.5
NR4A1	0.5
PRKCE	0.5
LSM1	0.5
OR51E1	0.5
RARB	0.5
PRKCZ	1.0
ZFP36L2	0.5
TNFRSF11B	0.5
MCL1	0.5
PRKACA	0.5
UCP3	0.5
PBX1	0.5
CYP7B1	1.0
NOTCH4	0.5
AGR2	1.0
CLPTM1L	0.5
TYMS	1.0
GSTP1	1.0
CYP2C19	0.5
DCAF6	0.5
MMP9	1.0
TCEAL7	0.5
BCL2	1.0
MMP2	0.5
ZNF652	0.5
RAB4B	0.5
RAD9A	0.5
ERGIC2	0.5
AAAS	0.5
MUC6	0.5
KCNMA1	0.5
PODXL	0.5
TPBG	0.5
IL24	0.5
IL27	0.5
ALPL	0.5
TMOD1	0.5
TXNDC5	0.5
CAV1	1.0
CACNA1H	0.5
UXT	1.0
SERPINC1	0.5
TPD52	1.0
GADD45A	0.5
ACSM3	0.5
DNMT1	1.0
MAP3K7	1.0
FGFR2	0.5
ZIC2	0.5
TRPV6	0.5
SHH	0.5
SEC62	0.5
MSMB	1.0
ERBB2	1.0
ERBB3	1.0
BRCA2	1.0
TBXAS1	0.5
ERBB4	0.5
DEGS1	0.5
CRYL1	0.5
CTSB	1.0
JAK1	0.5
CTSD	0.5
CREB1	0.5
HOXD3	0.5
BGLAP	0.5
NR2C1	0.5
RPL10	0.5
SCHLAP1	0.5
RPL12	0.5
BRD4	0.5
MDM2	0.5
MIF	1.0
MDM4	0.5
RPL19	0.5
TBXA2R	0.5
IKBKB	0.5
XAF1	0.5
CNN3	0.5
EPO	0.5
CXCL8	0.5
LOC101928075	0.5
AKT2	0.5
PPFIBP2	0.5
B4GALT4	0.5
FOXA1	1.0
F2R	0.5
FOXA3	0.5
RUNX1	0.5
BMPR2	0.5
C8orf17	0.5
PRRX1	0.5
RGS17	0.5
SHC1	0.5
RCBTB2	0.5
STAT6	0.5
FAM48A	0.5
HRAS	0.5
HSPG2	0.5
CARM1	0.5
HIF1A	1.0
SLC31A1	0.5
PDZK1IP1	0.5
DAB2	0.5
XRCC1	1.0
NDRG1	1.0
PAGE4	0.5
ETS1	0.5
JARID1B	0.5
PAGE1	0.5
SREBF2	0.5
SCN9A	0.5
PIAS3	0.5
EGR1	1.0
JUN	0.5
ZFP36	0.5
TNK2	0.5
EGF	1.0
RNF130	0.5
TIAM1	0.5
JUP	1.0
SREBF1	0.5
CDK5R1	0.5
TTC9C	0.5
CX3CL1	0.5
GNRH2	0.5
CHEK2	1.0
SURF4	0.5
NPPA	0.5
EPHB2	0.5
ADAMTS5	0.5
UMPS	1.0
EPHB4	0.5
PEBP1	0.5
ERP29	0.5
EHBP1	0.5
PARP1	0.5
PCAT19	0.5
KCNN3	0.5
MMP7	0.5
CD55	0.5
PTPN1	0.5
LAMC1	1.0
ANG	0.5
ESR2	1.0
GSTT1	1.0
ESR1	1.0
TIMP2	0.5
PALB2	0.5
CYP19A1	1.0
CYP2E1	0.5
MAP3K1	0.5
EIF4EBP1	0.5
SULT2B1	0.5
EIF3A	0.5
FLT1	0.5
BAG1	0.5
YY1	0.5
XAGE3	0.5
SEC14L2	0.5
CCR1	0.5
OLFM1	0.5
TBX1	0.5
DHDH	0.5
CCR5	0.5
UPF2	0.5
CCR9	0.5
RAF1	0.5
CD9	1.0
BCAS1	0.5
ADI1	1.0
STAT3	1.0
STAT1	0.5
ADIPOR1	0.5
LINC00506	0.5
CD82	1.0
CCAT2	0.5
IFNB1	0.5
FHL2	0.5
REG4	0.5
ICAM1	1.0
ERCC1	0.5
BRAF	0.5
PENK	0.5
MSH2	0.5
ZBED1	0.5
PDHA1	0.5
ACACA	0.5
CDKN2B-AS1	0.5
VCAN	0.5
COMT	1.0
JUND	0.5
APPL2	0.5
GUCD1	0.5
TPD52L1	0.5
LGALS3	0.5
TP53	0.5
PAWR	1.0
QARS	0.5
RAD51B	0.5
GPR68	0.5
LRP2	0.5
CYP1A1	1.0
FGG	0.5
SFRP4	0.5
IL10	1.0
GSTM1	1.0
EIF2AK2	0.5
HPCQTL19	0.5
IL16	1.0
WNT4	0.5
IL6	1.0
MAPK1	0.5
ADRB2	0.5
SOX9	0.5
IL2	1.0
TMSB15A	0.5
PRNCR1	0.5
PSCA	1.0
PDE4D	0.5
IL8	0.5
ALOX12	0.5
SEPP1	0.5
AOX1	0.5
CDH13	1.0
DDR1	1.0
CREG1	0.5
SSTR4	0.5
PLAUR	1.0
BIRC5	0.5
LIMK1	0.5
BIRC3	0.5
S100P	0.5
PRSSL1	0.5
FOXO3	0.5
BMPR1B	1.0
RING1	0.5
MAP2K5	0.5
GPD2	0.5
DDIT4	0.5
PIN1	0.5
DNAJC3	0.5
PEX14	0.5
ALDH1A2	0.5
SOD3	0.5
RCHY1	0.5
EBAG9	0.5
GCNT1	1.0
KLF15	0.5
TFAP2A	0.5
FAS	0.5
CHIT1	0.5
SOD1	0.5
TERC	0.5
PTHLH	1.0
APEX1	0.5
SYNJ2	0.5
SPINK5	0.5
TERT	1.0
DPP4	0.5
TMF1	0.5
PDZK1	0.5
ANXA1	1.0
ANXA3	0.5
ANXA2	0.5
ZBTB7A	0.5
ANXA4	0.5
ESRRB	0.5
SPOP	0.5
TBC1D3	0.5
IL4	0.5
PSMC3IP	0.5
PIGP	0.5
TP53BP1	0.5
HPN	1.0
EPCAM	0.5
TAGLN	0.5
BMP4	0.5
TMEFF2	0.5
RELB	0.5
CEBPD	0.5
PON1	1.0
KLK2	1.0
CASP9	0.5
GSTCD	0.5
LPL	0.5
TOM1L1	0.5
ABCC4	1.0
HAO1	0.5
M6PR	0.5
BCL2L1	0.5
PTGS2	1.0
TIMP4	1.0
SSX2	0.5
FXYD3	0.5
DNAH12	0.5
PLK1	0.5
CCR2	0.5
KLK11	0.5
MC2R	0.5
HPCX	0.5
KLK14	0.5
AKT1	1.0
ZFAND5	0.5
CAPNS1	0.5
CDK2AP2	0.5
MSR1	1.0
SPINT2	0.5
SPINT1	0.5
NES	0.5
AHCYL2	0.5
GHRL	0.5
SOCS3	0.5
HSP90AB1	0.5
TLE3	0.5
MICAL2	0.5
CXCR3	0.5
GOLGA4	0.5
CAPN1	0.5
EDN1	0.5
MYC	1.0
KRAS	0.5
RNASEL	1.0
CTAG1B	0.5
BMP7	1.0
ENTPD5	0.5
SOD2	1.0
RNASE4	0.5
BMP6	0.5
RNASE9	0.5
P4HB	0.5
ENPP5	0.5
STAT5B	0.5
Magmas	0.5
ABHD9	0.5
FASLG	0.5
CSMD1	0.5
PMS2	0.5
PELP1	0.5
SERPINB5	0.5
PA2G4	0.5
CSNK2A1	0.5
NUCB2	0.5
HPC5	0.5
HPC4	0.5
HPC7	0.5
HPC6	0.5
BMP2	0.5
HPC3	0.5
MBTPS1	0.5
ACSL3	0.5
HYAL1	0.5
HPC9	0.5
HBG2	0.5
ACSL4	1.0
GSK3B	1.0
INADL	0.5
TLR6	1.0
TYMP	0.5
GRB7	0.5
TLR5	0.5
EDNRA	0.5
ADAMTS15	0.5
KDELR1	0.5
TNF	0.5
HOXC8	0.5
VDR	1.0
STMN1	0.5
RASD1	0.5
RASSF1	0.5
ACRBP	0.5
TRIM31	0.5
JMJD3	0.5
SLC7A1	0.5
NOX1	0.5
ST14	1.0
SMARCA4	0.5
HBG1	0.5
ADAM9	1.0
SPRY2	0.5
MAPKAPK2	0.5
TLR10	0.5
TGFA	0.5
AMH	0.5
COPE	0.5
MIZF	0.5
A2M	0.5
ZBTB38	0.5
ELK1	0.5
OSM	0.5
PIK3R1	0.5
IFNG	0.5
SFN	0.5
TOP2B	0.5
LZTS1	1.0
OXER1	0.5
SIRT1	1.0
TLR4	1.0
RASL11A	0.5
NEDD9	0.5
CDC25C	0.5
SERPINB10	0.5
CDC25A	0.5
EFEMP2	0.5
PRKCD	0.5
HIST1H2BG	0.5
SLC26A4	0.5
DAG1	1.0
FGF8	0.5
FGF7	0.5
ADIPOR2	0.5
RHOA	0.5
ITPR1	1.0
TRPM8	0.5
FGF2	1.0
ETV1	1.0
IL1RN	1.0
ABCG2	0.5
TLR9	0.5
ETV5	0.5
ETV4	1.0
ZMYM3	0.5
MPO	0.5
VAV3	1.0
TNFAIP3	0.5
SHBG	0.5
GGT1	0.5
MTDH	0.5
SPOCK1	0.5
WNT5A	0.5
IL17RD	1.0
IL17RC	0.5
EBF2	0.5
CCL2	0.5
RAD23B	0.5
ACE	1.0
DEFB1	1.0
JAZF1	0.5
MAPK14	0.5
HNRNPH1	0.5
DIABLO	0.5
TLR1	0.5
HPGD	0.5
CNR1	0.5
CASC8	0.5
LOC285634	0.5
ARMC2	0.5
BAIAP2L1	0.5
DCC	0.5
CYP2B6	0.5
SPARC	0.5
REPS2	0.5
MAPK3	1.0
UGT2B17	1.0
FASN	0.5
NBN	0.5
PTOV1	1.0
PML	0.5
SRD5A2	1.0
SRD5A1	1.0
FGF10	0.5
PDGFRB	0.5
HLA-A	0.5
PCDH8	0.5
RAP2A	0.5
USP2	0.5
RBL2	0.5
MTHFR	1.0
NPM1	0.5
CCNB1	0.5
ARL6IP1	0.5
TRIM36	0.5
FERMT2	0.5
ERP44	0.5
SERPINF1	0.5
DPYD	0.5
PHLPP2	0.5
ACHE	0.5
ADM	0.5
MAPK8IP1	0.5
HEY1	0.5
SIL1	0.5
CEP152	0.5
BSG	0.5
ID2	0.5
ID3	0.5
ID1	0.5
LEP	1.0
MET	0.5
STAT5A	0.5
PIAS1	0.5
CASC17	0.5
EMP3	0.5
NKX3-1	1.0
PRKACB	1.0
STEAP2	0.5
STEAP4	0.5
MKI67	0.5
GNMT	0.5
LPXN	0.5
FBXO44	0.5
TMSB4X	0.5
CHGA	0.5
RPS19	0.5
CRYAB	0.5
FRAP1	0.5
NOTCH1	0.5
ADAM10	0.5
LATS2	0.5
HSPA1A	0.5
ADAM15	0.5
ADAM17	0.5
SRF	0.5
PCAP	0.5
SERPINA1	0.5
SERPINA3	0.5
GRHL1	0.5
CPNE3	1.0
SSR2	0.5
MLH1	0.5
GLI2	0.5
GLI1	0.5
PYCARD	0.5
CYSLTR1	0.5
MECP2	0.5
LDHB	0.5
CYP2C18	0.5
DNMT3B	1.0
TRAF1	0.5
NR3C1	0.5
DNMT3A	0.5
PIM2	0.5
PGRMC1	0.5
PIM1	1.0
TMPRSS2	1.0
ASZ1	0.5
PDIA3	0.5
PLAU	1.0
POU4F1	0.5
AR	1.0
MCAM	0.5
NGF	0.5
CALCA	0.5
RUVBL1	0.5
MIR21	0.5
SSBP2	0.5
MTAP	0.5
NAGK	0.5
NFIC	0.5
GFI1	0.5
ACTN4	0.5
MXI1	1.0
LGALS8	0.5
CD164	0.5
EZR	0.5
DSPP	0.5
GNA12	0.5
ATF3	1.0
CREB3L4	0.5
PRKD1	0.5
ALOX15B	0.5
MMP1	0.5
PTPRK	0.5
C2orf43	0.5
GSTK1	0.5
