geneName	score
GSTM1	0.145814229369
GSTM3	0.12
GSTO1	0.12
GSTP1	0.184435216378
GSTT1	0.140365528884
GUCD1	0.12
HAO1	0.12
HBG1	0.12
HBG2	0.12
HDAC6	0.12
HERPUD1	0.12
HIF1A	0.153496597004
HIP1	0.120814325616
HIST1H2BG	0.12
HIST1H4H	0.12
HNF1B	0.138379017095
HNRNPH1	0.12
HOXB13	0.165344977832
HOXD3	0.12
HPC10	0.12
HPC14	0.12
HPC15	0.12
HPC3	0.12
HPC4	0.12
HPC5	0.12
HPC6	0.12
HPC7	0.12
HPC9	0.12
HPCQTL19	0.12
HPCX	0.12
HPCX2	0.12
HPGD	0.12
HPN	0.13225461033
HSD17B1	0.12
HSD17B3	0.12
HSD3B1	0.122724350242
HSD3B2	0.122724350242
HSP90AB1	0.12
HSP90B1	0.122724350242
HSPA1A	0.12
HTR3B	0.12
ICAM1	0.123267233987
ID3	0.120271441872
IGF1	0.22198036742
IGFBP3	0.155602118632
IGFBP6	0.12
IGFBP7	0.125720142357
IGSF5	0.12
IL10	0.122724350242
IL16	0.122724350242
IL17RC	0.120271441872
IL17RD	0.122724350242
IL18	0.122724350242
IL1RN	0.122724350242
IL2	0.122995792115
IL24	0.120271441872
IL27	0.120814325616
IL6	0.155678063502
INADL	0.12
INS	0.123810117731
INTS4	0.12
IRAK4	0.12
IRS1	0.125448700485
ITGA6	0.127372537808
ITGB3	0.136346101455
ITPR1	0.122724350242
IVNS1ABP	0.12
JAK2	0.12
JAZF1	0.122367031979
JUP	0.122724350242
KCNN3	0.12
KDELR1	0.12
KEAP1	0.12
KLF15	0.12
KLF6	0.151053620155
KLK2	0.138713133433
KLK3	0.181240058567
KLK5	0.128173050727
KLKP1	0.122724350242
LAMB2	0.12
LAMC1	0.122724350242
LDHB	0.12
LEP	0.128173050727
LIFR	0.122367031979
LINC00506	0.12
LMTK2	0.135521428797
LOC101928075	0.12
LOC102724596	0.12
LOC728114	0.12
LPAR1	0.125448700485
LPL	0.122995792115
LRP2	0.122724350242
LZTS1	0.122995792115
M6PR	0.12
MAD1L1	0.12
MAP3K7	0.12
MAPK3	0.125448700485
MARCH8	0.12
MBD2	0.12
MBTPS1	0.12
MC2R	0.12
MDM2	0.128001297944
MDM4	0.123724241339
MED12	0.120271441872
MIF	0.128444492599
MIR21	0.120542883744
MLH1	0.125448700485
MLPH	0.12
MME	0.139613335441
MMP13	0.12
MMP7	0.124538566955
MMP9	0.142880569428
MPO	0.122724350242
MSH3	0.122724350242
MSMB	0.189163454678
MSR1	0.143027300909
MT2A	0.122724350242
MTAP	0.12
MTHFR	0.135631464927
MUC4	0.125448700485
MXI1	0.181628651232
MYC	0.137974752687
MYCL	0.12
MYH14	0.12
MYO6	0.12135720936
NAGK	0.12
NAGLU	0.12
NAT1	0.125448700485
NAT2	0.130540082706
NBN	0.12
NCOA1	0.120271441872
NCOA2	0.122724350242
NCOA3	0.122995792115
NDRG1	0.122995792115
NEDD9	0.12
NFE2L2	0.12
NFIC	0.12
NGFR	0.120542883744
NIPAL3	0.12
NKX3-1	0.148319338391
NOL10	0.12
NOS3	0.13089740097
NOTCH4	0.12
NPPA	0.12
NPR3	0.12
NQO1	0.122995792115
NR3C1	0.120271441872
NRP1	0.120271441872
NUCB2	0.12
OGG1	0.122724350242
OLFM1	0.12
OXT	0.12
P4HB	0.12
PAGE1	0.12
PAGE4	0.12
PAK6	0.122995792115
PARP1	0.120814325616
PAWR	0.120814325616
PCAP	0.12
PCAT19	0.12
PCDH11Y	0.122724350242
PCDH8	0.12
PDE4D	0.12
PDHA1	0.12
PDIA3	0.12
PDLIM5	0.12764397968
PDZK1	0.12
PDZK1IP1	0.12
PENK	0.12
PEX14	0.12
PGAM2	0.12
PGRMC1	0.12
PHGDH	0.12
PHLPP2	0.12
PIGP	0.12
PIK3CA	0.121900093105
PIK3CD	0.12135720936
PIM1	0.123267233987
PKP3	0.12
PLAU	0.136346101455
PLAUR	0.128173050727
PLEK2	0.12
PODXL	0.122724350242
POLK	0.12
PON1	0.125448700485
PPARA	0.122724350242
PPFIBP2	0.12
PPP3CA	0.12
PRDX2	0.120271441872
PRKACB	0.122724350242
PRKCZ	0.122724350242
PRKDC	0.12
PRL	0.120271441872
PRNCR1	0.12135720936
PRNP	0.120271441872
PRRX1	0.12
PRSS8	0.12
PSCA	0.146801813969
PSMC3IP	0.12
PTEN	0.188082968035
PTGS2	0.1515965039
PTHLH	0.12980170196
PTOV1	0.12
PTPRK	0.12
PTRH2	0.12
QARS	0.12
RAB4B	0.12
RAD23B	0.12
RAD51B	0.12
RALBP1	0.12
RASD1	0.12
REC8	0.12
RFK	0.12
RFX6	0.123317078531
RGS17	0.120271441872
RLIM	0.12
RLN2	0.125448700485
RNASE4	0.12
RNASE9	0.12
RNASEL	0.26814564502
RNF130	0.12
RPL10	0.12
RPL12	0.12
RPN2	0.12
RPS19	0.12
RRAS	0.12
RUNX1	0.12
RXRA	0.202724350242
SCHLAP1	0.120542883744
SDF2L1	0.12
SEPP1	0.120542883744
SERINC3	0.12
SERPINA3	0.122367031979
SERPINB10	0.12
SERPINE1	0.122995792115
SERPINF1	0.120814325616
SESN3	0.12
SHBG	0.12
SHROOM2	0.12
SIDT1	0.12
SIL1	0.12
SIRT1	0.13089740097
SLC12A2	0.12
SLC22A3	0.138876479763
SLC26A4	0.12
SLC31A1	0.12
SLC39A1	0.128444492599
SLC41A1	0.12
SLC5A5	0.120542883744
SLC7A1	0.12
SOD2	0.141351607284
SP5	0.12
SPINK5	0.12
SPOCK1	0.12
SPON2	0.12
SPOP	0.120271441872
SRD5A1	0.21089740097
SRD5A2	0.14607315227
SSBP2	0.122724350242
SSR2	0.12
SSX2	0.12
ST14	0.13089740097
STARD10	0.12
STARD3	0.12
STAT3	0.138246194559
STEAP4	0.12
STMN1	0.120542883744
SULT1A1	0.125091382221
SULT1E1	0.120271441872
SULT2A1	0.12
SULT2B1	0.12
SURF4	0.12
TBX1	0.12
TBXAS1	0.12
TCEAL7	0.12
TCN2	0.12
TCP1	0.12
TERC	0.12
TERT	0.131485163497
TET2	0.12
TGFA	0.121085767488
TGFB1	0.150239294539
TGFBR2	0.125448700485
THADA	0.127372537808
THYN1	0.12
TIMP4	0.122995792115
TIRAP	0.12
TJP3	0.12
TLR4	0.127815732464
TLR5	0.12
TLR6	0.125448700485
TMEFF2	0.120271441872
TMF1	0.120271441872
TMOD1	0.12
TMPRSS2	0.160312438371
TMSB4X	0.12
TNFRSF10A	0.127815732464
TNFRSF21	0.12
TNFSF10	0.129258818216
TNRC6B	0.127101095936
TNS3	0.12
TOM1L1	0.12
TOP2A	0.12
TOP2B	0.12
TP53	0.199342486018
TPBG	0.12
TPD52	0.127815732464
TPD52L1	0.12
TPP1	0.12
TPT1	0.122724350242
TRAF1	0.12
TRIM31	0.12
TRIM8	0.12
TST	0.12
TTC9C	0.12
TUSC3	0.12
TXNDC5	0.12
TXNRD2	0.12
TYMS	0.122724350242
UCK2	0.12
UCP3	0.12
UGT2B15	0.128444492599
UGT2B17	0.131168842842
UMPS	0.125448700485
UPF2	0.12
USO1	0.12
UXT	0.122724350242
VAV3	0.125448700485
VDR	0.165956635858
VEGFA	0.169299814715
VIM	0.125991584229
VIMP	0.12
VIP	0.125448700485
VPS52	0.12
VPS53	0.12
WNT4	0.12
XAGE3	0.12
XRCC1	0.125448700485
ZBED1	0.122171534977
ZBTB16	0.122724350242
ZBTB38	0.12
ZBTB7A	0.12
ZFAND5	0.12
ZFHX3	0.128444492599
ZFP36L2	0.12
ZGPAT	0.120271441872
ZIC2	0.12
ZMYM3	0.12
ZNF160	0.12
ZNF652	0.120542883744
