gene	z-value	credibility	disease
ZC3H7B	3.21	1.6	Endometrial stromal sarcoma
RABAC1	3.062	1.5	Endometrial carcinoma
YTHDC1	3.027	1.5	Endometrial cancer
MYT1	3.854	1.9	Dysembryoplastic neuroepithelial tumor
SH3RF2	3.397	1.7	Dermatofibrosarcoma protuberans
STARD7	3.024	1.5	Colorectal adenocarcinoma
NUDCD1	3.311	1.7	Chronic myeloid leukemia
IBTK	3.724	1.9	Chronic lymphocytic leukemia
SYNGR3	3.664	1.8	Chromophobe adenocarcinoma
SCHIP1	3.095	1.5	Chromophobe adenocarcinoma
IFITM2	3.431	1.7	Choroid cancer
STARD7	3.942	2.0	Choriocarcinoma
FMNL3	3.511	1.8	Chondrosarcoma
FHOD1	3.421	1.7	Chondrosarcoma
PCDHA4	3.469	1.7	Cervix carcinoma
CRCT1	3.256	1.6	Cervical squamous cell carcinoma
TRHDE	3.406	1.7	Cervical cancer
MYT1	4.058	2.0	Cardia cancer
GSTA3	6.101	3.1	Cancer
DDX53	5.543	2.8	Cancer
CDX1	5.418	2.7	Cancer
CDX2	5.365	2.7	Cancer
FGR	4.991	2.5	Cancer
TXK	4.901	2.5	Cancer
ATP4A	4.736	2.4	Cancer
ATP12A	4.735	2.4	Cancer
DNAJB7	4.684	2.3	Cancer
IL3RA	4.419	2.2	Cancer
RPL10A	4.321	2.2	Cancer
ANXA8L1	4.304	2.2	Cancer
SKP1	4.052	2.0	Cancer
MAP2K4	4.041	2.0	Cancer
KIAA1524	4.014	2.0	Cancer
BCL3	3.991	2.0	Cancer
ERAS	3.989	2.0	Cancer
MLLT1	3.975	2.0	Cancer
CKS1B	3.87	1.9	Cancer
EIF5B	3.769	1.9	Cancer
TOP3B	3.718	1.9	Cancer
HNRNPC	3.688	1.8	Cancer
ZNF217	3.659	1.8	Cancer
KAT5	3.653	1.8	Cancer
H2AFV	3.63	1.8	Cancer
H2AFY2	3.621	1.8	Cancer
RPS13	3.614	1.8	Cancer
H2AFJ	3.603	1.8	Cancer
HIST1H2AD	3.585	1.8	Cancer
PSMC6	3.534	1.8	Cancer
LAP3	3.524	1.8	Cancer
DIRAS3	3.505	1.8	Cancer
MAP4K4	3.467	1.7	Cancer
HIPK2	3.467	1.7	Cancer
LRIG1	3.461	1.7	Cancer
ING4	3.432	1.7	Cancer
NEDD8	3.414	1.7	Cancer
IARS	3.413	1.7	Cancer
TIE1	3.394	1.7	Cancer
LALBA	3.39	1.7	Cancer
TP53BP2	3.388	1.7	Cancer
RPS5	3.385	1.7	Cancer
RAD17	3.369	1.7	Cancer
POLL	3.356	1.7	Cancer
CHMP2A	3.339	1.7	Cancer
EPHA3	3.333	1.7	Cancer
PIM3	3.323	1.7	Cancer
CDK8	3.299	1.6	Cancer
ITGB7	3.296	1.6	Cancer
TDG	3.289	1.6	Cancer
TRAT1	3.273	1.6	Cancer
CSE1L	3.271	1.6	Cancer
CYP51A1	3.266	1.6	Cancer
POLM	3.264	1.6	Cancer
SIRT5	3.263	1.6	Cancer
LPAR3	3.212	1.6	Cancer
PPP1R15A	3.184	1.6	Cancer
SUMO2	3.164	1.6	Cancer
DDX21	3.162	1.6	Cancer
EPHB3	3.158	1.6	Cancer
SOX1	3.155	1.6	Cancer
HGS	3.117	1.6	Cancer
ABL2	3.115	1.6	Cancer
RALB	3.099	1.5	Cancer
TNFRSF17	3.096	1.5	Cancer
NOMO2	3.073	1.5	Cancer
HOXC6	3.07	1.5	Cancer
PTP4A2	3.033	1.5	Cancer
TFDP3	3.028	1.5	Cancer
BST2	3.02	1.5	Cancer
BRMS1	4.195	2.1	Breast cancer
IL17RB	3.245	1.6	Breast cancer
LMTK3	3.144	1.6	Breast cancer
KRT38	3.139	1.6	Basal cell carcinoma
HIST2H2AB	4.355	2.2	Atypical teratoid rhabdoid tumor
HSD17B11	4.008	2.0	Adrenal carcinoma
DDX10	3.528	1.8	Acute myeloid leukemia
PREB	4.653	2.3	Acute lymphocytic leukemia
RAP1GDS1	3.104	1.6	Acute lymphocytic leukemia
