Human Symbol,Relative Rank,Cancer Type,COSMIC,CGC
SIAH1,C,Pancreatic Cancer,Yes,No
SIAH1,D,Colorectal Cancer,Yes,No
CDC27,C,Liver Cancer,Yes,No
CDC27,A,Colorectal Cancer,Yes,No
CDC27,B,Nervous System Cancer,Yes,No
HNRNPH3,D,Liver Cancer,Yes,No
HNRNPH3,D,Pancreatic Cancer,Yes,No
HNRNPH3,D,Pancreatic Cancer,Yes,No
KLC1,Not Ranked,Colorectal Cancer,Yes,No
KLC1,D,Pancreatic Cancer,Yes,No
KLC1,D,Colorectal Cancer,Yes,No
MYL12A,D,Liver Cancer,Yes,No
MYL12A,D,Pancreatic Cancer,Yes,No
MYL12A,Not Ranked,Blood Cancer,Yes,No
RBBP7,D,Liver Cancer,Yes,No
RBBP7,Not Ranked,Colorectal Cancer,Yes,No
RBBP7,D,Colorectal Cancer,Yes,No
CCNK,C,Liver Cancer,Yes,No
CCNK,D,Colorectal Cancer,Yes,No
ITGB1BP2,D,Liver Cancer,Yes,No
ITGB1BP2,Not Ranked,Colorectal Cancer,Yes,No
RBBP4,D,Liver Cancer,Yes,No
RBBP4,Not Ranked,Colorectal Cancer,Yes,No
RPL24,D,Liver Cancer,Yes,No
RPL24,Not Ranked,Colorectal Cancer,Yes,No
SPRY1,Not Ranked,Blood Cancer,Yes,No
SPRY1,Not Ranked,Blood Cancer,Yes,No
SUDS3,D,Liver Cancer,Yes,No
SUDS3,Not Ranked,Colorectal Cancer,Yes,No
BMP8B,Not Ranked,Colorectal Cancer,Yes,No
CBLC,Not Ranked,Colorectal Cancer,Yes,Yes
CDC26,Not Ranked,Colorectal Cancer,Yes,No
CDK5RAP3,Not Ranked,Colorectal Cancer,Yes,No
COPG1,Not Ranked,Colorectal Cancer,No,No
COPZ2,Not Ranked,Colorectal Cancer,No,No
E2F2,Not Ranked,Colorectal Cancer,Yes,No
EIF3C,D,Liver Cancer,Yes,No
EIF3D,Not Ranked,Colorectal Cancer,Yes,No
EIF3K,Not Ranked,Colorectal Cancer,Yes,No
EIF3L,C,Pancreatic Cancer,Yes,No
EIF3M,D,Liver Cancer,Yes,No
FBXO31,Not Ranked,Colorectal Cancer,Yes,No
GTF2H3,Not Ranked,Colorectal Cancer,Yes,No
KPNA6,Not Ranked,Colorectal Cancer,No,No
MNAT1,B,Nervous System Cancer,Yes,No
MYBBP1A,Not Ranked,Colorectal Cancer,Yes,No
NFYB,D,Liver Cancer,Yes,No
PCGF6,Not Ranked,Blood Cancer,Yes,No
PLXNB1,D,Pancreatic Cancer,Yes,No
RNF19A,A,Liver Cancer,Yes,No
RPS16,D,Gastric Cancer,Yes,No
RPS9,D,Liver Cancer,Yes,No
SENP3,Not Ranked,Colorectal Cancer,No,No
SETD7,Not Ranked,Colorectal Cancer,Yes,No
TRAF2,D,Liver Cancer,Yes,No
UBASH3B,Not Ranked,Nervous System Cancer,Yes,No
XRCC6,Not Ranked,Colorectal Cancer,Yes,No
