__mclCluster	name	MAA
63.0	EGFR	0.467483108108
202.0	DMD	0.0
202.0	PGM5	0.0
168.0	PELP1	0.243243243243
168.0	SENP3	0.243243243243
511.0	SMARCB1	0.0
203.0	SMARCD1	0.0
99.0	MAD2L1	0.0
99.0	ANAPC2	0.0
66.0	PPP6R3	0.0
66.0	PPP6C	0.0
424.0	PIK3CA	0.0
-1	IRS1	-1
542.0	EIF4G1	0.0
542.0	G3BP1	0.0
3.0	DDB1	0.0
3.0	DCAF12	0.0
203.0	SMARCC2	0.0
203.0	SMARCE1	0.0
541.0	SCG5	0.0
541.0	PCSK2	0.0
1.0	SKP2	0.508083823188
24.0	STK24	0.0
24.0	STRN3	0.0
379.0	FBXW11	0.0
301.0	CTNNB1	0.364864864865
79.0	MRPL36	0.228040540541
79.0	BRCA1	0.228040540541
48.0	CDC42	0.0
48.0	PRKCI	0.0
540.0	CYFIP2	0.0
540.0	WASF1	0.0
83.0	EIF2B5	0.0
56.0	NR0B2	0.228040540541
162.0	MAP3K7	0.243243243243
162.0	NOD2	0.243243243243
13.0	TCEB1	0.0
13.0	FEM1B	0.0
-1	COPB1	-1
201.0	COPE	0.243243243243
170.0	RPLP1	0.0
170.0	RPLP0	0.0
125.0	JAM3	0.0
125.0	F2RL2	0.0
472.0	MED1	0.0
6.0	MED25	0.0
539.0	STAT5A	0.364864864865
539.0	TSLP	0.364864864865
101.0	TFDP2	0.228040540541
101.0	E2F3	0.228040540541
22.0	KPNA6	0.193130630631
22.0	KPNB1	0.193130630631
165.0	ULK1	0.0
165.0	ATG13	0.0
538.0	SNRPB2	0.0
538.0	SMN1	0.0
537.0	SUPT5H	0.0
537.0	CCNT1	0.0
57.0	DCTN2	0.0
57.0	ACTR1A	0.0
536.0	TGOLN2	0.0
536.0	AP1M2	0.0
-1	BIRC3	-1
232.0	UBE2D3	0.0
535.0	ORC1	0.0
535.0	ORC4	0.0
56.0	RARA	0.228040540541
44.0	OTUB1	0.0
9.0	IKZF3	0.0900900900901
9.0	SIN3A	0.0900900900901
534.0	F13A1	0.547297297297
534.0	FGG	0.547297297297
533.0	GUCA2A	0.0
533.0	GUCY2C	0.0
161.0	BAX	0.243243243243
161.0	BCL2L11	0.243243243243
199.0	IL20	0.0
199.0	IL20RA	0.0
532.0	XRCC3	0.0
532.0	FANCG	0.0
198.0	MID1	0.0
198.0	UBE2E2	0.0
134.0	MBD3	0.0
-1	KDM1A	-1
531.0	TMPO	0.0
531.0	BANF1	0.0
11.0	PSMB5	0.0
530.0	POLR2G	0.0
530.0	POLR2J	0.0
201.0	COPG1	0.243243243243
88.0	TAF10	0.0
88.0	TAF8	0.0
99.0	CDC20	0.0
2.0	RPS29	0.0
16.0	CHD3	0.104247104247
512.0	UBE2D1	0.0
529.0	XPC	0.0
529.0	RAD23A	0.0
528.0	XRCC2	0.0
528.0	RAD51C	0.0
1.0	ACTL6A	0.508083823188
1.0	KAT5	0.508083823188
61.0	PAF1	0.0
527.0	RPS12	0.0
527.0	RPS26	0.0
329.0	HDAC3	0.0
19.0	CCND1	0.259857942074
30.0	PSMA2	0.0
30.0	PSMB8	0.0
41.0	RB1	0.531243243243
41.0	CCND3	0.531243243243
187.0	SRCAP	0.0
187.0	DMAP1	0.0
26.0	DDX39B	0.0
26.0	THOC2	0.0
11.0	PSMA5	0.0
526.0	TNFRSF11B	0.912162162162
526.0	TNFSF10	0.912162162162
222.0	INSR	0.0
503.0	RNF7	0.0
525.0	PDK1	0.0
525.0	PDHA1	0.0
524.0	SEPT7	0.0
524.0	SEPT2	0.0
38.0	SF3A2	0.0
38.0	SF3B2	0.0
523.0	COL5A3	0.0
523.0	COL5A1	0.0
522.0	PXN	0.0
522.0	PTPN11	0.0
1.0	CDKN1A	0.508083823188
118.0	COPS3	0.0
164.0	CDK1	0.0
164.0	USP16	0.0
11.0	PSMB1	0.0
139.0	RBBP4	0.324324324324
182.0	BRCC3	0.0
182.0	FAM175A	0.0
451.0	RXFP1	0.0
242.0	RLN2	0.364864864865
111.0	RING1	0.243243243243
111.0	PCGF1	0.243243243243
521.0	PARD6A	0.0
521.0	LLGL2	0.0
108.0	TSC22D4	0.0
84.0	BCR	0.285050675676
84.0	JAK2	0.285050675676
520.0	TRAPPC8	0.0
520.0	TRAPPC3	0.0
64.0	GNB1	0.0
29.0	CCT6A	0.0
159.0	RPL11	0.0
27.0	CXCL10	0.429054054054
27.0	DPP4	0.429054054054
314.0	AMFR	0.0
7.0	VCP	0.0
17.0	FBXO11	0.177840957516
110.0	SIAH1	0.324324324324
202.0	SNTG1	0.0
223.0	SMAD3	0.364864864865
-1	PIN1	-1
519.0	CHUK	0.912162162162
519.0	MAP3K1	0.912162162162
518.0	VIP	0.912162162162
518.0	VIPR1	0.912162162162
201.0	COPZ2	0.243243243243
517.0	GIPR	0.0
517.0	GIP	0.0
50.0	DGKZ	0.228040540541
50.0	PRKCA	0.228040540541
516.0	UTRN	0.0
516.0	DRP2	0.0
515.0	PRIM2	0.0
515.0	POLA2	0.0
5.0	H1F0	0.357490777451
325.0	ITGAM	0.0
352.0	ICAM1	0.364864864865
514.0	GP1BA	0.0
514.0	VWF	0.0
124.0	FKBP8	0.0
124.0	EGLN1	0.0
62.0	IL1R1	0.0
62.0	MYD88	0.0
172.0	APP	0.0
172.0	LRP1	0.0
98.0	DCUN1D1	0.0
183.0	ZBTB16	0.756756756757
-1	PHC1	-1
179.0	CBX4	0.324324324324
5.0	CDC25B	0.357490777451
513.0	CASP2	0.0
513.0	MZB1	0.0
512.0	RLIM	0.0
370.0	E2F1	0.364864864865
41.0	MAPK14	0.531243243243
6.0	MED6	0.0
6.0	MED21	0.0
2.0	RPS2	0.0
86.0	COPS2	0.0
86.0	COPS6	0.0
511.0	SMARCC1	0.0
438.0	TRIM5	0.0
97.0	FFAR1	0.0
73.0	MAPK8IP2	0.356313344595
73.0	MAPK13	0.356313344595
22.0	NUP98	0.193130630631
190.0	GSK3A	0.0
473.0	PRKCB	0.0
510.0	MED4	0.0
510.0	MED12	0.0
509.0	INO80	0.547297297297
509.0	YY1	0.547297297297
10.0	EIF3D	0.152568358635
10.0	EIF3H	0.152568358635
71.0	IFNAR1	0.0
508.0	PTPRF	0.547297297297
508.0	BCAR1	0.547297297297
507.0	HMGB1	0.364864864865
507.0	TAF1	0.364864864865
378.0	SRC	0.364864864865
18.0	RNF25	0.23228206696
101.0	CDK3	0.228040540541
101.0	E2F2	0.228040540541
506.0	MAP4K1	0.0
506.0	ABL1	0.0
272.0	CASP3	0.0
3.0	DCAF4	0.0
505.0	PDE6D	0.547297297297
505.0	HRAS	0.547297297297
504.0	CASP10	0.547297297297
504.0	FAS	0.547297297297
30.0	PSMA6	0.0
503.0	ASB2	0.0
6.0	MED13	0.0
194.0	AP3B1	0.0
194.0	AP3D1	0.0
13.0	SPSB4	0.0
21.0	FBXO5	0.165540540541
21.0	CDC27	0.165540540541
158.0	HCFC1	0.0
158.0	ASH2L	0.0
31.0	RIPK2	0.0
31.0	NGFR	0.0
52.0	PLCG2	0.0
52.0	SYK	0.0
200.0	TUBA1A	0.0
174.0	FBXW8	0.0
174.0	RBX1	0.0
502.0	RAD21	0.0
502.0	PDS5B	0.0
501.0	CSF3R	0.0
501.0	CSF2	0.0
489.0	BTRC	0.364864864865
177.0	CDH2	0.324324324324
371.0	RAD50	0.0
100.0	ERCC2	0.356313344595
500.0	STX4	0.0
500.0	STXBP3	0.0
16.0	ZMYM2	0.104247104247
499.0	EIF4E	0.0
499.0	DDX3X	0.0
92.0	AURKB	0.356313344595
92.0	CENPA	0.356313344595
99.0	FZR1	0.0
40.0	STAT6	0.356108108108
40.0	NCOA1	0.356108108108
498.0	NUTF2	0.0
498.0	NUP62	0.0
13.0	TCEB3	0.0
73.0	MBP	0.356313344595
173.0	SMURF1	0.0
173.0	TGFBR1	0.0
24.0	STRN	0.0
497.0	NXF1	0.0
497.0	RAN	0.0
136.0	STUB1	0.0
496.0	FHL5	0.0
496.0	CREM	0.0
495.0	POU2AF1	0.0
495.0	SLC22A1	0.0
494.0	CFH	0.0
494.0	CFI	0.0
7.0	ASPSCR1	0.0
3.0	WDTC1	0.0
39.0	FAAP100	0.0
39.0	FANCA	0.0
493.0	RFX2	0.0
493.0	RFX1	0.0
62.0	IL1A	0.0
109.0	CUL2	0.0
7.0	ANKZF1	0.0
60.0	SNRPD3	0.0
60.0	CLNS1A	0.0
87.0	PIP5K1A	0.0
87.0	ARF1	0.0
1.0	PIAS2	0.508083823188
492.0	DOK1	0.0
492.0	TEC	0.0
491.0	CD3E	0.0
491.0	CD247	0.0
47.0	HAND1	0.0
47.0	HAND2	0.0
490.0	NMUR2	0.0
490.0	NMU	0.0
186.0	AKAP11	0.324324324324
186.0	GSK3B	0.324324324324
460.0	STAT3	0.364864864865
489.0	SNAI1	0.364864864865
488.0	ACTR8	0.0
488.0	RUVBL2	0.0
113.0	CSNK1E	0.0
113.0	MCC	0.0
487.0	MVB12A	0.0
487.0	CD2AP	0.0
7.0	VCPIP1	0.0
57.0	DCTN1	0.0
486.0	SHOC2	0.0
486.0	NRAS	0.0
6.0	MED23	0.0
152.0	CD47	0.0
152.0	SIRPA	0.0
485.0	HIST1H1A	0.547297297297
485.0	CCNA1	0.547297297297
484.0	CALCRL	0.0
484.0	RAMP2	0.0
149.0	UBE2L3	0.0
149.0	UBA1	0.0
122.0	ADRA2A	0.0
122.0	GNAO1	0.0
483.0	VPS4B	0.0
483.0	PDCD6IP	0.0
25.0	RASSF6	0.0
6.0	MED16	0.0
383.0	HDAC5	0.547297297297
4.0	PSMC6	0.0
482.0	CDC37	0.0
482.0	STK11	0.0
30.0	PSMA1	0.0
-1	DNMT1	-1
199.0	IL20RB	0.0
166.0	YWHAQ	0.0
109.0	LRR1	0.0
393.0	RNF2	0.0
189.0	RIN1	0.0
189.0	YWHAB	0.0
481.0	HIC1	0.0
481.0	CTBP2	0.0
17.0	FBXO31	0.177840957516
193.0	NUP107	0.0
193.0	SEC13	0.0
1.0	TUBA4A	0.508083823188
27.0	CXCL12	0.429054054054
13.0	SPSB1	0.0
78.0	COPG2	0.0
78.0	COPB2	0.0
13.0	ASB8	0.0
198.0	RNF8	0.0
233.0	ACIN1	0.0
3.0	DTL	0.0
49.0	DLL4	0.175135135135
465.0	PRPF6	0.0
86.0	COPS7A	0.0
480.0	ARHGEF7	0.0
480.0	SCRIB	0.0
55.0	TRIM25	0.0
197.0	PEF1	0.0
176.0	ACTR3	0.0
176.0	WASF2	0.0
67.0	NCOA2	0.823796452703
408.0	WDR61	0.0
2.0	RPS14	0.0
39.0	FANCM	0.0
39.0	FAAP24	0.0
91.0	LSM4	0.0
91.0	LSM2	0.0
479.0	HHIP	0.0
479.0	DHH	0.0
478.0	GABARAP	0.0
117.0	PCNA	0.0
345.0	POLA1	0.0
28.0	GNG5	0.0
28.0	GNB2	0.0
54.0	SETD7	0.228040540541
477.0	CAMKK2	0.0
477.0	CAMK4	0.0
91.0	LSM6	0.0
196.0	CDK7	0.0
156.0	CCNC	0.0
156.0	MED10	0.0
147.0	PML	0.324324324324
269.0	SMC3	0.0
43.0	POLR3A	0.0
37.0	MMP9	0.398140540541
37.0	PZP	0.398140540541
12.0	ERCC6	0.0
294.0	PRPF8	0.364864864865
344.0	CASP8	0.0
104.0	CUL3	0.0
430.0	SMARCA2	0.364864864865
34.0	SSRP1	0.0
411.0	NCK1	0.0
15.0	NCL	0.0
47.0	TCF3	0.0
21.0	CDH1	0.165540540541
476.0	WWP1	0.0
476.0	SMAD1	0.0
110.0	BAG1	0.324324324324
36.0	OCRL	0.0
90.0	NCAPD2	0.0
46.0	RPA1	0.210162162162
46.0	ATRIP	0.210162162162
-1	ACTR2	-1
44.0	TRIM32	0.0
171.0	HLA-E	0.0
171.0	CALR	0.0
2.0	RPS20	0.0
195.0	ERBB3	1.0
10.0	EIF3M	0.152568358635
475.0	TNFRSF8	0.0
475.0	TRAF5	0.0
194.0	AP3S1	0.0
75.0	UCHL5	0.0
114.0	PALB2	0.243243243243
35.0	IARS	0.0
26.0	THOC1	0.0
43.0	POLR3B	0.0
463.0	EIF2B3	0.0
474.0	ACTC1	0.547297297297
474.0	GC	0.547297297297
190.0	AXIN1	0.0
473.0	MARCKS	0.0
193.0	SEH1L	0.0
472.0	MED26	0.0
54.0	HIST3H3	0.228040540541
471.0	ATG12	0.0
471.0	ATG16L1	0.0
5.0	RBL2	0.357490777451
6.0	MED17	0.0
19.0	SUDS3	0.259857942074
98.0	ASB1	0.0
71.0	PTPRC	0.0
90.0	NCAPG	0.0
33.0	SART1	0.42732972973
33.0	SUMO1	0.42732972973
470.0	PSMD4	0.0
4.0	PSMD14	0.0
105.0	ASAP2	0.0
469.0	CAPZA1	0.0
469.0	CAPZB	0.0
2.0	RPS9	0.0
18.0	TRIM17	0.23228206696
129.0	LCK	0.0
67.0	NRIP1	0.823796452703
468.0	KCNJ4	0.0
468.0	CASK	0.0
5.0	LIN54	0.357490777451
23.0	SOX9	0.263513513514
467.0	POLH	0.0
467.0	POLI	0.0
65.0	RPL23A	0.228040540541
65.0	RPL19	0.228040540541
97.0	PTGIR	0.0
32.0	TNRC6A	0.0
32.0	AGO4	0.0
288.0	PARP1	0.0
3.0	TRPC4AP	0.0
466.0	FASLG	0.0
466.0	PSTPIP1	0.0
28.0	GNG10	0.0
47.0	TCF4	0.0
-1	STAT1	-1
115.0	MCM3	0.432432432432
465.0	SNRNP200	0.0
464.0	ROCK1	0.547297297297
464.0	LIMK1	0.547297297297
96.0	TAF13	0.0
96.0	TAF9	0.0
114.0	MORF4L1	0.243243243243
192.0	GOSR2	0.0
192.0	STX5	0.0
463.0	EIF2B2	0.0
95.0	APAF1	0.228040540541
462.0	CKS1B	0.547297297297
462.0	CDKN1B	0.547297297297
461.0	SPTAN1	0.0
461.0	PLEC	0.0
68.0	TAF6	0.0
95.0	PMAIP1	0.228040540541
460.0	FER	0.364864864865
459.0	INCENP	0.0
459.0	AURKA	0.0
29.0	TCP1	0.0
355.0	RNF4	0.0
37.0	CXCL8	0.398140540541
89.0	ITGB1BP2	0.228040540541
89.0	ITGB1	0.228040540541
150.0	STXBP2	0.0
150.0	STX2	0.0
74.0	FOS	0.538745777027
7.0	FAF2	0.0
286.0	PER2	0.0
72.0	MOB1B	0.0
72.0	LATS1	0.0
58.0	IRS2	0.356313344595
191.0	LBR	0.0
458.0	PIGT	0.0
458.0	GPAA1	0.0
457.0	SSTR2	0.364864864865
457.0	SHANK2	0.364864864865
456.0	EPHB2	0.0
456.0	PICK1	0.0
455.0	PAAF1	0.0
9.0	BCL6	0.0900900900901
30.0	PSMB10	0.0
8.0	FYN	0.0810810810811
8.0	MAPT	0.0810810810811
179.0	BMI1	0.324324324324
88.0	TAF3	0.0
33.0	SATB1	0.42732972973
391.0	XRCC5	0.547297297297
452.0	PROS1	0.364864864865
48.0	CDC42BPA	0.0
133.0	TEAD1	0.0
133.0	MEF2A	0.0
454.0	CRKL	0.547297297297
454.0	TGFB1I1	0.547297297297
80.0	IKBKE	0.467483108108
80.0	IKBKB	0.467483108108
185.0	MYB	0.324324324324
27.0	CXCL11	0.429054054054
453.0	MDH2	0.0
453.0	CS	0.0
452.0	F10	0.364864864865
82.0	ALK	0.285050675676
451.0	RLN3	0.0
450.0	PFN1	0.0
450.0	WASL	0.0
175.0	BMP4	0.243243243243
175.0	NOG	0.243243243243
2.0	RPS5	0.0
449.0	SMC1A	0.0
449.0	STAG1	0.0
28.0	GNG3	0.0
190.0	PRKCG	0.0
448.0	NFKB1	0.364864864865
448.0	HMGA1	0.364864864865
447.0	PIAS4	0.547297297297
447.0	SMAD4	0.547297297297
189.0	MARK3	0.0
446.0	RPS25	0.0
446.0	RPS17	0.0
188.0	VAMP3	0.0
188.0	STX3	0.0
26.0	ALYREF	0.0
187.0	ING3	0.0
4.0	PSMC2	0.0
445.0	USP22	0.0
139.0	CHAF1A	0.324324324324
444.0	ZKSCAN7	0.0
444.0	TCEANC	0.0
443.0	SNX9	0.0
443.0	SNX33	0.0
442.0	MED18	0.0
442.0	MED31	0.0
214.0	HSPA8	0.547297297297
208.0	HNRNPD	0.0
181.0	GOSR1	0.0
441.0	AIMP2	0.0
440.0	SRSF2	0.0
440.0	SREK1	0.0
186.0	AXIN2	0.324324324324
60.0	SNRPD2	0.0
439.0	SIRT1	0.364864864865
439.0	BRINP1	0.364864864865
-1	BTK	-1
438.0	TRIM6	0.0
75.0	INO80E	0.0
160.0	KPNA2	0.0
160.0	RAG1	0.0
437.0	SLC3A2	0.0
437.0	SLC7A11	0.0
72.0	HTRA2	0.0
436.0	PRKDC	0.0
436.0	ILF3	0.0
94.0	SNCA	0.410472972973
93.0	KLC1	0.356313344595
93.0	KIF5A	0.356313344595
435.0	ARPC3	0.0
276.0	PFDN5	0.0
180.0	PPP4R3A	0.0
180.0	PPP4C	0.0
434.0	TOMM20	0.0
434.0	PINK1	0.0
9.0	PGR	0.0900900900901
433.0	BMPR1B	0.912162162162
433.0	BMP6	0.912162162162
25.0	RASSF5	0.0
14.0	ITSN1	0.23228206696
13.0	SPSB2	0.0
432.0	SUZ12	0.0
432.0	EZH1	0.0
23.0	MEF2D	0.263513513514
431.0	FBXW5	0.0
431.0	CUL4A	0.0
144.0	KDR	0.432432432432
430.0	ARID1A	0.364864864865
429.0	KCNJ8	0.0
429.0	ABCC9	0.0
293.0	VPS35	0.0
271.0	VPS26A	0.0
428.0	PARK2	0.0
428.0	DNAJA1	0.0
417.0	KAT2B	0.547297297297
427.0	RALA	0.0
427.0	PLD1	0.0
185.0	AR	0.324324324324
185.0	MYBBP1A	0.324324324324
426.0	OS9	0.0
426.0	SEL1L	0.0
184.0	SFPQ	0.0
183.0	SFN	0.756756756757
79.0	TOPBP1	0.228040540541
178.0	PRKCZ	0.324324324324
425.0	PKN2	0.0
425.0	MAP3K2	0.0
94.0	USP9X	0.410472972973
8.0	SKAP2	0.0810810810811
5.0	CCNK	0.357490777451
4.0	PSMD10	0.0
182.0	UIMC1	0.0
424.0	PIK3R2	0.0
423.0	FADD	0.0
423.0	RIPK3	0.0
29.0	CCT7	0.0
422.0	BYSL	0.0
422.0	PNO1	0.0
421.0	ACTN2	0.547297297297
421.0	ACTN4	0.547297297297
46.0	TP53BP1	0.210162162162
338.0	TJP1	0.0
-1	CTTN	-1
-1	PCGF2	-1
420.0	MLLT3	0.0
181.0	NAPA	0.0
181.0	VAMP2	0.0
65.0	RPL35	0.228040540541
419.0	COL2A1	0.0
419.0	FN1	0.0
38.0	SF3B1	0.0
84.0	STAT5B	0.285050675676
93.0	MAP3K11	0.356313344595
418.0	ARAF	0.0
10.0	EIF3K	0.152568358635
417.0	BRCA2	0.547297297297
2.0	RPS11	0.0
416.0	TNF	0.364864864865
416.0	TRAF2	0.364864864865
48.0	ARHGAP32	0.0
154.0	POLR3C	0.0
154.0	POLR3F	0.0
415.0	NPR3	0.0
415.0	NPPB	0.0
28.0	GNG12	0.0
414.0	SART3	0.0
414.0	PRPF3	0.0
413.0	HDAC7	0.0
413.0	MEF2C	0.0
412.0	CKMT1A	0.0
412.0	VDAC1	0.0
45.0	SERPINB13	0.210162162162
45.0	CTSL	0.210162162162
360.0	CAMK2G	0.0
74.0	NTRK3	0.538745777027
180.0	TIPRL	0.0
2.0	RPS15	0.0
117.0	KIAA0101	0.0
42.0	PLAT	0.0
42.0	FGA	0.0
179.0	CBX2	0.324324324324
93.0	MAPK8IP1	0.356313344595
411.0	NCKAP1	0.0
410.0	RND3	0.364864864865
410.0	PLXNB1	0.364864864865
409.0	BORA	0.547297297297
409.0	PLK1	0.547297297297
408.0	CDC73	0.0
407.0	BECN1	0.0
407.0	ZWINT	0.0
406.0	TLN1	0.0
406.0	ITGB2	0.0
8.0	DLG4	0.0810810810811
92.0	CDCA8	0.356313344595
143.0	CREBBP	0.243243243243
5.0	CDT1	0.357490777451
405.0	TMED10	0.0
405.0	TMED9	0.0
92.0	NPM1	0.356313344595
178.0	HNRNPA2B1	0.324324324324
404.0	PAFAH1B1	0.0
404.0	NUDC	0.0
144.0	NRP1	0.432432432432
403.0	TRAF1	0.0
403.0	TICAM1	0.0
63.0	PRDX1	0.467483108108
91.0	LSM3	0.0
48.0	CDC42EP5	0.0
22.0	PTHLH	0.193130630631
402.0	ATF1	0.547297297297
402.0	CREB1	0.547297297297
70.0	PSMD1	0.0
401.0	GNAI1	0.0
401.0	RGS19	0.0
400.0	CHRNB4	0.0
400.0	CHRNA3	0.0
385.0	AP1M1	0.0
87.0	CYTH1	0.0
56.0	TRIM24	0.228040540541
89.0	CD81	0.228040540541
399.0	IL2RG	0.0
399.0	IL15RA	0.0
22.0	RANBP2	0.193130630631
29.0	CCT2	0.0
321.0	HSP90AB1	0.547297297297
90.0	SMC2	0.0
45.0	CTSB	0.210162162162
45.0	CST7	0.210162162162
89.0	CD19	0.228040540541
8.0	GRIN2A	0.0810810810811
398.0	CTSS	0.547297297297
398.0	CST3	0.547297297297
82.0	JAK3	0.285050675676
82.0	CD40	0.285050675676
397.0	NUMB	0.0
397.0	LNX2	0.0
396.0	DRD1	0.0
396.0	FLNA	0.0
395.0	ABCA1	0.0
395.0	SNTA1	0.0
153.0	RASA1	0.0
394.0	RAD18	0.0
394.0	HLTF	0.0
393.0	USP7	0.0
392.0	TAF11	0.0
392.0	TAF12	0.0
85.0	PRMT5	0.0
66.0	PPP6R1	0.0
247.0	SUMO2	0.0
267.0	ITGA4	0.0
20.0	MAP3K3	0.0
145.0	VAV1	0.0
145.0	CBLB	0.0
9.0	KLF11	0.0900900900901
-1	NEDD4	-1
26.0	THOC5	0.0
391.0	TERT	0.547297297297
41.0	CCND2	0.531243243243
177.0	CDH3	0.324324324324
40.0	JUN	0.356108108108
390.0	RHOT1	0.0
390.0	TRAK1	0.0
